ticket_id,epic,title,description,priority,phase,owner_role,dependencies,acceptance_criteria,tests_required,estimate_points,status,files_area
QRY-002,Deterministic Query Engine,Completed payout total compiler,Implement completed gross payout aggregation.,P0,1,Backend,QRY-001,August/July/AWS gold totals and source rows exact; pending/failed/reversed excluded.,gold integration,5,todo,backend/query/database
QRY-003,Deterministic Query Engine,Net cash outflow compiler,Aggregate completed net cash including fees.,P0,1,Backend,QRY-001,Cash semantics exact and status exclusions enforced.,integration,3,todo,backend/query/database
QRY-004,Deterministic Query Engine,Posted vendor spend compiler,Implement signed posted Expense/COGS spend.,P0,1,Backend,QRY-001,Credits/reversals net correctly; draft/voided/non-expense excluded.,gold integration,5,todo,backend/query/database
QRY-005,Deterministic Query Engine,Open reconciliation compiler,Implement amount/count/list and partial semantics.,P0,1,Backend,QRY-001,Partial contributes remaining amount; posted/open statuses exact.,gold integration,5,todo,backend/query/database
QRY-006,Deterministic Query Engine,Grouping and ranking,Support allow-listed breakdowns/top-N with stable ties.,P0,1,Backend,QRY-002;QRY-004,Top-five and group totals tie to parent; deterministic order.,integration/property,5,todo,backend/query/database
QRY-007,Deterministic Query Engine,Period comparison,"Compute prior/named periods, absolute and percentage change safely.",P0,1,Backend,QRY-002;SEM-003,July/August comparison exact; zero baseline represented safely.,gold/unit,5,todo,backend/query/database
QRY-008,Deterministic Query Engine,Ageing query,Implement older-than and declared ageing buckets.,P0,1,Backend,QRY-005;SEM-003,Boundary dates exact and source records stable.,gold/boundary integration,3,todo,backend/query/database
QRY-009,Deterministic Query Engine,Duplicate candidate query,Detect declared possible duplicate pairs without deduplicating totals.,P0,1,Backend,QRY-002,Pairs exact; total unchanged; qualified warning emitted.,edge-case integration,3,todo,backend/query/database
QRY-010,Deterministic Query Engine,Anomaly query,Implement declared amount/median-ratio baseline.,P0,1,Backend,QRY-002,"Planted anomaly found; wording says unusual, not fraud.",edge-case integration,3,todo,backend/query/database
QRY-011,Deterministic Query Engine,Data freshness query,Return per-source max dates and SLA status.,P0,1,Backend,DAT-008,Gold freshness answer and unknown/stale paths work.,integration,3,todo,backend/query/database
QRY-012,Deterministic Query Engine,Source lineage and hash,Capture stable IDs/count/hash for every result.,P0,1,Backend,QRY-002,Repeated equivalent query gives same canonical hash/source hash.,property/integration,5,todo,backend/query/database
QRY-013,Deterministic Query Engine,Join-cardinality validator,Detect one-to-many inflation before returning totals.,P0,1,Backend,QRY-004;QRY-005,Injected bad join fails required check and returns no number.,regression integration,5,todo,backend/query/database
QRY-014,Deterministic Query Engine,Result validation pipeline,"Run currency, signs, dates, totals, coverage and required checks.",P0,1,Backend,QRY-012;QRY-013,Any required fail blocks financial value; warnings map to qualified policy.,unit/integration,5,todo,backend/query/database
QRY-015,Deterministic Query Engine,Deterministic answer templates,Create plain-language answers only from ComputedFacts.,P0,1,Backend,SEM-008;QRY-014,Numeric token scan finds no novel number; exact formatting.,unit/property,5,todo,backend/query/database
QRY-016,Deterministic Query Engine,Query cancellation/timeouts,Apply DB statement timeout and cancel propagation.,P0,1,Backend,QRY-001,Timeout/cancel returns no partial amount and safe error/receipt.,integration,3,todo,backend/query/database
QRY-017,Deterministic Query Engine,Validated fact cache,Cache only validated facts keyed by dataset snapshot and canonical plan.,P0,1,Backend,QRY-014,Snapshot/semantic version changes miss cache; invalid results never cached.,unit/integration,3,todo,backend/query/database
NLP-001,NLU & Lightweight Model,Deterministic hint parser,"Extract exact IDs, explicit dates, obvious statuses and commands.",P0,3,Model/Backend,SEM-003;SEM-004,Hints reduce model use without overriding contradictory language.,unit/gold,5,todo,backend/parsing/evaluation
NLP-002,NLU & Lightweight Model,Model provider abstraction,"Define structured-output client, errors, metrics and fake provider.",P0,3,Model/Backend,FND-005,Providers are swappable; tests require no network.,unit,3,todo,backend/parsing/evaluation
NLP-003,NLU & Lightweight Model,InterpretationDraft prompt,Create compact prompt from semantic registry and QueryState.,P0,3,Model/Backend,NLP-002;SEM-007,No SQL/answers requested; untrusted text policy explicit; versioned.,snapshot/security review,5,todo,backend/parsing/evaluation
NLP-004,NLU & Lightweight Model,Structured schema validation,Validate output and permit one bounded repair retry.,P0,3,Model/Backend,NLP-003,Malformed/extra fields fail closed after one retry.,unit/adversarial,3,todo,backend/parsing/evaluation
NLP-005,NLU & Lightweight Model,Draft-to-plan resolver,Resolve model phrases to canonical metric/entities/dates/filters.,P0,3,Model/Backend,NLP-004;SEM-003;SEM-004;SEM-005;SEM-006,All resolved IDs/ranges/mandatory filters deterministic.,gold integration,5,todo,backend/parsing/evaluation
NLP-006,NLU & Lightweight Model,Ambiguity gate,Generate bounded clarification receipts and pending state.,P0,3,Model/Backend,NLP-005;SEM-008,Acme/ABC/recent/Q2/no referent return no number and usable choices.,gold/E2E,5,todo,backend/parsing/evaluation
NLP-007,NLU & Lightweight Model,Unsupported-domain gate,Detect prediction/approver/payroll/missing fields.,P0,3,Model/Backend,NLP-005,Unsupported cases return no number and explain available scope.,gold/E2E,3,todo,backend/parsing/evaluation
NLP-008,NLU & Lightweight Model,Prompt-injection isolation,Prevent record/user instructions from changing parser policy.,P0,3,Model/Backend,NLP-003;NLP-005,"Planted prompt text remains inert in parser, answer and UI.",security regression,5,todo,backend/parsing/evaluation
NLP-009,NLU & Lightweight Model,Optional wording composer guard,"If model wording is used, constrain to immutable facts and revalidate numbers.",P0,3,Model/Backend,QRY-015;NLP-002,Novel numeric/status claims rejected; template fallback works.,property/adversarial,5,todo,backend/parsing/evaluation
NLP-010,NLU & Lightweight Model,Benchmark runner,Run candidates over gold and multi-turn sets with metadata.,P0,3,Model/Backend,NLP-005;QRY-015,"Produces immutable per-case/aggregate results, latency/tokens/cost.",runner unit; reproducibility,5,todo,backend/parsing/evaluation
NLP-011,NLU & Lightweight Model,Model selection report,Populate actual selected-run rationale and failures.,P0,3,Model/Backend,NLP-010,Smallest passing model selected only after safety gates; no unmeasured claim.,review evidence,3,todo,backend/parsing/evaluation
API-001,API & Conversation State,Metadata and glossary endpoints,"Implement company, dataset, metrics, dimensions, statuses and definitions.",P0,2-4,Backend,FND-002;SEM-001;DAT-006,Responses match OpenAPI and power UI without duplicate semantic copy.,contract integration,3,todo,backend/api
API-002,API & Conversation State,Conversation CRUD,Create/list/get/rename/delete/reset conversations.,P0,2-4,Backend,FND-002;SEM-007,"Ordering, empty state, reset/version and delete cascade behave safely.",API integration,5,todo,backend/api
API-003,API & Conversation State,Idempotency store,Persist request key/body hash/result for mutations.,P0,2-4,Backend,FND-002,Same body replays; different body conflicts; concurrent duplicate is single execution.,concurrency integration,5,todo,backend/api
API-004,API & Conversation State,Message orchestration endpoint,"Connect parser, resolver, query engine, receipt and state update.",P0,2-4,Backend,API-002;API-003;QRY-015;NLP-006;NLP-007,All answer statuses returned under same contract; audit persisted.,contract/gold E2E,8,todo,backend/api
API-005,API & Conversation State,Context-version conflict handling,Reject stale expected context and expose latest version.,P0,2-4,Backend,API-004,Older turn cannot overwrite newer state.,race integration,5,todo,backend/api
API-006,API & Conversation State,Receipt endpoint,Fetch immutable answer receipt by query ID.,P0,2-4,Backend,API-004,"Stable result, not regenerated from raw message.",contract integration,3,todo,backend/api
API-007,API & Conversation State,Source records endpoint,Cursor-paginate exact receipt lineage with safe sort.,P0,2-4,Backend,QRY-012;API-006,Cursor bound to query; records/count/hash align.,pagination/security integration,5,todo,backend/api
API-008,API & Conversation State,Explorer endpoints,"Expose bounded transaction/payout filters, summaries and rows.",P0,2-4,Backend,DAT-007;QRY-001,"URL-supported filters, server totals, cursor pagination and timeout.",contract/integration,5,todo,backend/api
API-009,API & Conversation State,Reconciliation endpoints,"Expose KPIs, ageing, breakdown and records.",P0,2-4,Backend,QRY-005;QRY-008,Partial/open semantics and filters exact.,gold integration,5,todo,backend/api
API-010,API & Conversation State,Data-health endpoints,Expose health summary and detail lists.,P0,2-4,Backend,DAT-008;QRY-011,Warnings include impact/severity/source links.,contract integration,3,todo,backend/api
API-011,API & Conversation State,Request cancellation,Propagate disconnect/cancel where feasible and mark cancelled safely.,P0,2-4,Backend,API-004;QRY-016,Cancelled request cannot persist successful stale turn.,integration,3,todo,backend/api
API-012,API & Conversation State,API rate/size bounds,"Apply message, page, breakdown and export limits.",P0,2-4,Backend,API-004;API-007,Oversized requests fail with problem+json and no expensive execution.,security integration,3,todo,backend/api
FE-001,Frontend Core & Ask,Design tokens and typography,"Define spacing, type, surfaces, statuses, focus and responsive breakpoints.",P0,2-4,Frontend,FND-003,Tokens support AA contrast and all status states without colour-only meaning.,visual/accessibility review,3,todo,frontend
FE-002,Frontend Core & Ask,Responsive application shell,"Build nav, header, content and evidence slot across breakpoints.",P0,2-4,Frontend,FE-001,Desktop/tablet/360px layouts work; skip link and focus order valid.,component/E2E/accessibility,5,todo,frontend
FE-003,Frontend Core & Ask,Dataset/synthetic indicators,"Render company, data-as-of and synthetic badges globally.",P0,2-4,Frontend,API-001;FE-002,Never says live; stale/delayed/unknown states accessible.,unit/E2E,2,todo,frontend
FE-004,Frontend Core & Ask,Global API/error layer,"Typed client, problem+json rendering, retries, trace ID, offline behavior.",P0,2-4,Frontend,FND-004;FND-006;FE-002,No raw server details; retry policy does not duplicate mutations.,unit/MSW/E2E,5,todo,frontend
FE-005,Frontend Core & Ask,Ask empty state,"Implement headline, scope and six prompts.",P0,2-4,Frontend,FE-002;API-001,Prompts send normal messages; unsupported scope visible.,component/E2E,3,todo,frontend
FE-006,Frontend Core & Ask,Question composer,Implement multiline send/stop/retry/idempotency client IDs.,P0,2-4,Frontend,FE-004;FE-005,"Enter/Shift+Enter, 4k limit, duplicate guard, cancel and draft behavior pass.",unit/E2E/keyboard,5,todo,frontend
FE-007,Frontend Core & Ask,Processing stages,Show actual orchestration stage without fake streaming prose.,P0,2-4,Frontend,FE-006;API-004,Stage changes accessible; cancelled/failed paths correct.,MSW/E2E,3,todo,frontend
FE-008,Frontend Core & Ask,AnswerCard state machine,"Render verified, qualified, needs-clarification, not-answerable, no-matching-rows and error receipts.",P0,2-4,Frontend,FE-007;SEM-008,No number in prohibited states; verified-zero/no-row language and warnings/status are accessible.,component/gold fixtures/E2E,8,todo,frontend
FE-009,Frontend Core & Ask,Interpretation chips,Render metric/date/date field/filter/group/status chips with overflow.,P0,2-4,Frontend,FE-008,Exact period and assumptions visible on desktop/mobile.,component/visual,3,todo,frontend
FE-010,Frontend Core & Ask,Comparison and breakdown,Render comparison math and server breakdown without browser totals.,P0,2-4,Frontend,FE-008;QRY-006;QRY-007,Zero baseline safe; rows/totals match receipt.,component/E2E,5,todo,frontend
FE-011,Frontend Core & Ask,Clarification choices,Render candidate buttons and submit versioned resolution turn.,P0,2-4,Frontend,FE-008;API-004,Keyboard selection; pending clarification preserved; no pre-choice number.,component/E2E,5,todo,frontend
FE-012,Frontend Core & Ask,Evidence panel shell,URL-preserving panel/sheet with tabs and close/focus behavior.,P0,2-4,Frontend,FE-002;API-006,Refresh/back works; mobile sheet focus trap/restore pass.,E2E/accessibility,5,todo,frontend
FE-013,Frontend Core & Ask,Receipt tab,"Show interpretation, result, lineage, versions and identifiers.",P0,2-4,Frontend,FE-012,All material fields readable/copyable; long values wrap.,component/E2E,3,todo,frontend
FE-014,Frontend Core & Ask,Records tab,"Cursor table, loading/empty/error, record detail.",P0,2-4,Frontend,FE-012;API-007,No client sum; stable cursor; mobile usable.,MSW/E2E/keyboard,5,todo,frontend
FE-015,Frontend Core & Ask,Checks tab,Render required/nonfatal pass/warn/fail with explanations.,P0,2-4,Frontend,FE-012,Not colour-only; failed required check never accompanies number.,component/E2E,3,todo,frontend
FE-016,Frontend Core & Ask,Query tab,"Show human-readable plan and named query, not private reasoning.",P0,2-4,Frontend,FE-012,No prompt/chain-of-thought/raw secret SQL; parameters redacted as designed.,security/UI review,3,todo,frontend
FE-017,Frontend Core & Ask,Conversation history,List/select/rename/delete/new conversation.,P0,2-4,Frontend,API-002;FE-002,"URL persistence, confirmations, loading/empty states.",component/E2E,5,todo,frontend
FE-018,Frontend Core & Ask,Stale-response protection,Reject older response/context and reconcile 409.,P0,2-4,Frontend,API-005;FE-006,Race test proves newer turn remains authoritative.,E2E race,5,todo,frontend
PG-001,"Pages, Export & Evaluation",Explorer route and URL filters,"Build transaction/payout mode, filter validation/reset and URL serialisation.",P0,5,Frontend/Backend,API-008;FE-002,Share/refresh preserves valid filters; invalid filter safely removed/reported.,component/E2E,5,todo,frontend/explorer
PG-002,"Pages, Export & Evaluation",Explorer server summary/grid,Render official summary and cursor rows with columns/detail.,P0,5,Frontend/Backend,PG-001,Totals from API; no-match/timeout/long text/mobile paths pass.,E2E/accessibility,5,todo,frontend/explorer
PG-003,"Pages, Export & Evaluation",Reconciliation KPIs,Build open amount/count/partial/disputed/oldest cards.,P0,5,Frontend/Backend,API-009;FE-002,Values/labels exact; zero and qualified states.,component/gold E2E,3,todo,frontend/reconciliation
PG-004,"Pages, Export & Evaluation",Reconciliation ageing/table,"Build ageing buckets, filters, records and detail drawer.",P0,5,Frontend/Backend,PG-003,Remaining vs full amount clear; bucket boundaries declared.,E2E/accessibility,5,todo,frontend/reconciliation
PG-005,"Pages, Export & Evaluation",Data Health summary,"Build freshness, counts, integrity and missing-link cards.",P0,5,Frontend/Backend,API-010;FE-002,Warning impact and source details visible; healthy/unavailable states.,component/E2E,5,todo,frontend/data-health
PG-006,"Pages, Export & Evaluation",Duplicate/anomaly health detail,Render candidate pairs and unusual payouts without changing totals/fraud wording.,P0,5,Frontend/Backend,PG-005;QRY-009;QRY-010,Pairs/baseline exact; language policy passes.,gold E2E,3,todo,frontend/data-health
PG-007,"Pages, Export & Evaluation",Glossary page,Search/filter semantic definitions and examples.,P0,5,Frontend/Backend,API-001;FE-002,Content matches registry; no duplicate divergent definitions.,component/contract,3,todo,frontend/glossary
PG-008,"Pages, Export & Evaluation",About page,"Document scope, architecture, synthetic data and limitations.",P0,5,Frontend/Backend,FE-002,No false model/performance claims; diagram accessible.,content/accessibility review,2,todo,frontend/about
PG-009,"Pages, Export & Evaluation",Not-found and route recovery,Implement 404 with safe return and focus management.,P0,5,Frontend/Backend,FE-002,Unknown routes do not crash or lose valid conversation.,E2E,2,todo,frontend
EXP-001,"Pages, Export & Evaluation",CSV export service,Stream exact lineage with deterministic order and sanitisation.,P0,5,Frontend/Backend,API-007;QRY-012,Row count/hash parity; formula payload escaped; negative numbers remain numeric text.,integration/security,5,todo,backend/exports
EXP-002,"Pages, Export & Evaluation",XLSX export service,"Create Receipt, Breakdown and Records sheets.",P0,5,Frontend/Backend,EXP-001,"Formats, freeze headers, no formulas from untrusted text, parity checks.",integration/file inspection,5,todo,backend/exports
EXP-003,"Pages, Export & Evaluation",Async export path,Use Celery/Redis for above synchronous cap with status endpoint.,P1,5,Frontend/Backend,EXP-002,Core answers work without worker; retry/idempotency and expiry documented.,integration/failure,5,todo,backend/exports
EXP-004,"Pages, Export & Evaluation",Export UI,Show create/progress/success/failure and metadata.,P0,5,Frontend/Backend,EXP-001;FE-012,No stale link; receipt hash/count visible; retry safe.,MSW/E2E,3,todo,frontend/evidence
EVL-001,"Pages, Export & Evaluation",Evaluation backend endpoints,Run/read immutable benchmark results in demo/local mode.,P1,5,Frontend/Backend,NLP-010;FND-009,Disabled outside demo; no gold leakage into normal answers.,security/integration,5,todo,backend/evaluation
EVL-002,"Pages, Export & Evaluation",Evaluation scorecard UI,"Render selected run, metrics, safety gates, latency/cost and failures.",P1,5,Frontend/Backend,EVL-001,No claimed value before run; accessible table/chart alternatives.,component/E2E,5,todo,frontend/evaluation
QA-001,Quality & Security,Gold query integration suite,Execute all gold deterministic cases against PostgreSQL.,P0,6,QA/Release,QRY-015;DAT-003,All exact values/source cases pass and failures show useful diff.,integration,8,todo,tests/performance/docs
QA-002,Quality & Security,Critical safe-failure suite,"Cover ambiguity, unsupported, prompt injection and required validation fail.",P0,6,QA/Release,NLP-008;API-004,Zero prohibited numeric answers.,integration/E2E,5,todo,tests/performance/docs
QA-003,Quality & Security,Multi-turn suite,"Cover comparison, correction, clarification, reset and pronouns.",P0,6,QA/Release,API-005;SEM-007;FE-018,Exact QueryState/version after each turn.,integration/E2E,5,todo,tests/performance/docs
QA-004,Quality & Security,Idempotency/concurrency suite,"Double send, network retry, parallel same key, stale responses.",P0,6,QA/Release,API-003;FE-018,Single execution/turn; conflicts deterministic.,concurrency/E2E,5,todo,tests/performance/docs
QA-005,Quality & Security,Export parity suite,Compare receipt/source lineage to CSV/XLSX.,P0,6,QA/Release,EXP-002,"Count/hash/value/order parity, injection regression.",integration,5,todo,tests/performance/docs
QA-006,Quality & Security,Accessibility audit,Automated plus keyboard/screen-reader smoke for P0 routes.,P0,6,QA/Release,FE-016;PG-009,No critical violations; focus/announcements/mobile sheet pass.,axe/manual/Playwright,5,todo,tests/performance/docs
QA-007,Quality & Security,Responsive visual regression,Capture desktop/tablet/360px key states.,P0,6,QA/Release,FE-016;PG-006,No overlap/clipping/hidden warnings/covered composer.,visual E2E,5,todo,tests/performance/docs
QA-008,Quality & Security,Security regression suite,"SQL injection, XSS, formula injection, cursor mix-up, gold import, secret/log scan.",P0,6,QA/Release,FND-008;NLP-008;EXP-002,All attacks fail safely and no data/secret leak.,security CI,8,todo,tests/performance/docs
QA-009,Quality & Security,Database failure/timeout suite,"DB unavailable, statement timeout, connection reset.",P0,6,QA/Release,QRY-016;API-004,No partial number; retryability and trace ID correct.,integration,3,todo,tests/performance/docs
QA-010,Quality & Security,Model failure suite,"Provider timeout, invalid schema, rate limit and unavailable model.",P0,6,QA/Release,NLP-004;API-004,Deterministic path/fallback or safe no-number error as declared.,fake-provider integration,5,todo,tests/performance/docs
PERF-001,Performance,Base latency instrumentation,Capture stage timings and named query metrics.,P0,6,QA/Release,FND-005;API-004,p50/p95 report can be produced; no raw data logging.,load smoke,3,todo,tests/performance/docs
PERF-002,Performance,Index and plan review,EXPLAIN common queries on base and scaled data.,P0,6,QA/Release,DAT-009;QRY-011,Plans use intended indexes; regressions documented.,DB benchmark,5,todo,tests/performance/docs
PERF-003,Performance,20M representative benchmark,Run declared scaled benchmark on available hardware.,P1,6,QA/Release,PERF-002,Report row count/hardware/p50/p95/plans; no overclaim if target not reached.,benchmark evidence,8,todo,tests/performance/docs
PERF-004,Performance,Frontend performance pass,"Measure bundle, interaction and large-table behavior.",P1,6,QA/Release,PG-002;FE-016,No unbounded render; route/code split where useful; measured.,Lighthouse/profiler,3,todo,tests/performance/docs
DEMO-001,Demo & Submission,Capture canonical sample answers,Store response fixtures/screens for required questions.,P0,6,QA/Release,QA-001;QA-003,Every capture includes commit/dataset/model/prompt version.,manual verification,3,todo,tests/performance/docs
DEMO-002,Demo & Submission,Finalize architecture diagram,Export Mermaid diagram for deck/README.,P0,6,QA/Release,FND-002;FND-003,Diagram matches implemented stack/data flow.,content review,2,todo,tests/performance/docs
DEMO-003,Demo & Submission,Finalize model rationale,Publish selected benchmark and smallest-passing rationale.,P0,6,QA/Release,NLP-011,Numbers match immutable run; limitations included.,evidence review,2,todo,tests/performance/docs
DEMO-004,Demo & Submission,Build presentation deck,"Create criterion-aligned deck with product, architecture, demo and impact.",P0,6,QA/Release,DEMO-001;DEMO-002;DEMO-003,Fits presentation limit and contains no unsupported claims.,rehearsal review,5,todo,tests/performance/docs
DEMO-005,Demo & Submission,Demo rehearsal and backup,Rehearse fixed flow and prepare video/screens/fixtures.,P0,6,QA/Release,DEMO-004;QA-007,Three-minute path repeatable; offline/model-failure backup remains grounded.,timed rehearsal,3,todo,tests/performance/docs
DEMO-006,Demo & Submission,Public-repo release review,"Clean secrets/caches, setup from fresh checkout, verify license and disclosure.",P0,6,QA/Release,QA-008;DEMO-005,Public repo clone runs documented validation/setup.,clean-checkout audit,5,todo,tests/performance/docs
