transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
907c5d60-3978-5f5c-acaa-0e98dfe44ff2,34bece0e-0264-5663-94b8-4e2c54c07448,2025-12-02 16:21:35.281414,debit,UPI-OFFICE RENT-HDFC0000713-UP2512020000713,312835.62,UP2512020000713,2rqommnMdS3XY/n5Cryaqmq0jok6qJemu2avJU6JN1fauqiaacx1LQ==
6f5cd8bd-8075-558b-a18f-137e527b172b,212239b5-63d9-4da6-aa8c-46485e0f8a42,2025-12-02 17:00:01.615920,credit,NEFT - SBIN0000426 - SELECTRICITY TWO PRIVATE LIMITED,1197002.99,,
92b0cad9-feda-524c-b227-06d5ba3997dd,cef50e75-3fed-5fdf-a79c-260ee521078e,2025-12-02 17:10:10.613937,credit,NEFT - TMBL0000351 - CHEQUE DEPOSITS,978308.90,NE2512020000351,37BU/dYuqFkM1j48ltiZvUCTRhNYrdWWaW9ono1gf2rfsFT91i6oWQ==
706098b7-271d-50f2-9387-6065882c882f,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-12-02 23:50:19.105712,debit,UPI-DELHIVERY-UTIB0000408-UP2512020000408,150769.77,UP2512020000408,YBtE3IZBweMd9hwWMFerFeSkope0r6oGfVK4vAgeud5gG0TchkHB4w==
d98e4ef8-6272-53c7-8550-47d4f76a109d,1425b010-e889-5f57-b12e-bd482ee89eb6,2025-12-03 07:06:27.196650,credit,CHEQUE CREDIT - SELECTRICITY TWO PRIVATE LIMITED - INSTRUMENT 00000100,1318967.34,,
3010de48-2234-5a46-ab54-b7abe2e7613f,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-12-03 12:26:40.316616,credit,RTGS - UBIN0002088 - CUSTOMER COLLECTION,247331.58,RT2512030002088,
f6512a73-bc68-54a6-a8d8-ed0b59f28e95,cef50e75-3fed-5fdf-a79c-260ee521078e,2025-12-03 14:15:58.634285,credit,RTGS - TMBL0001333 - CUSTOMER COLLECTION,1256496.34,RT2512030001333,Dg4rxPM/gGUHg6mdr5XOhqkhKQJ9ieGOvbT6n/LhOWcODivE8z+AZQ==
000000ac-39c5-4eb3-9fe3-ed40ceecee5d,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-12-03 16:24:54.000000,debit,NEFT/000483399203/ICIC/PARESH VIKRANT GHASE,9241.00,S5314253,
abb19daf-767c-54f6-8416-58b4763c7852,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-03 17:32:08.774028,credit,FT - ICIC0002120 - BAJAJ FINANCE LTD DISBURSEMENT,10977382.18,FT2512030002120,
ab501946-d840-5891-8177-4c608c6584e4,fcd8273d-738c-5491-a3d3-7b1f90feba61,2025-12-03 21:02:22.983532,debit,NEFT - UBIN0002118 - VENDOR SETTLEMENT,245066.39,NE2512030002118,d4YBitnP/rwDzjci17YccfhupSJws0p1pp4x/ARtjCx3hgGK2c/+vA==
6b081235-9f30-54b4-8cd9-8d1669dffdc5,8b0ad8b7-30f1-53d4-9794-a73bfa3e0914,2025-12-03 22:09:50.603480,debit,NEFT - ICIC0001094 - GST PAYMENT,4611970.90,NE2512030001094,/gMO+hO/XCJE81rJ4CT844jJs4bAnWO9JTSwErlacYb+Aw76E79cIg==
d21ea148-023b-5cd6-b3f5-f4024e3d1edd,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-04 01:31:57.455492,debit,RTGS - HDFC0002116 - SALARY PAYOUT,987146.50,RT2512040002116,
ce2369f3-8a47-5923-bbb8-50905f9b2ae9,a6d29e4b-510b-5184-a7f8-097fb2579f10,2025-12-04 01:40:24.581226,credit,RTGS - CNRB0000668 - SELECTRICITY TWO PRIVATE LIMITED,581611.54,RT2512040000668,kckmMftpeJ2eh+N1Hb0Ci3M/rtsDMTBNID6ca6b+VwyRySYx+2l4nQ==
ff63938c-8155-53b0-be7c-dcf924ec86db,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-12-04 02:15:55.926552,credit,FT - UBIN0002323 - BAJAJ FINANCE LTD DISBURSEMENT,22328606.33,FT2512040002323,
7df77b3a-0e81-528a-898b-b0470d0f6565,6fce8c8a-c915-571c-b259-2cb24ae02c2a,2025-12-04 06:57:43.951390,debit,FT - TMBL0002009 - DELHIVERY,287354.87,FT2512040002009,l/RjvphKZ6viAPSiqonrvKmF877gKIUyE86kU37dcbiX9GO+mEpnqw==
154ac75c-9cde-5aed-809c-c6c491370cb5,2d52dda2-d98a-4381-af80-45bdb173860c,2025-12-04 07:41:29.111782,debit,RTGS - CNRB0000883 - GOOGLE CLOUD INDIA,159629.36,RT2512040000883,GYL+YzEa9Cj2aKHb0ZACCl1jjrnBRMbcCiSjh36ZG2UZgv5jMRr0KA==
e151103a-8a72-584f-b922-5502c6d207a4,1ae805be-5614-567c-a87f-410f5e8c930b,2025-12-04 08:50:10.306523,debit,IMPS - CNRB0002317 - UMANG SELECTION HAPUR,331330.27,IM2512040002317,tlg+EjUvhD+qrb1zjlLyR/aV8WvbxvSM5LbEgGcV1nC2WD4SNS+EPw==
069b1efe-f21c-5349-b73e-f147d6347178,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-12-04 14:21:23.942687,debit,UPI-SOFTWARE SUBSCRIPTION-ICIC0000741-UP2512040000741,360535.53,UP2512040000741,
cb0d264e-42c2-5b86-84ed-8649930303e1,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-12-04 14:35:42.884213,debit,RTGS - UTIB0001201 - AIRTEL BUSINESS,426520.79,RT2512040001201,NiDNm7C/zxdQxg/bgx7j3eOXc3iPwua7I41oLuyIMBw2IM2bsL/PFw==
fe086328-18d1-5c69-9594-a974184621d4,acfbe204-7541-492c-a352-040aa984bedc,2025-12-04 15:34:21.077451,debit,RTGS - HDFC0000358 - IMPS CHARGES,2107.60,RT2512040000358,4k1FJ6O35Qzkgf+fWJ5m6XXJTqhwfp2miKgaOnmPFQPiTUUno7flDA==
f3c01ed2-398d-530e-9c52-877e388f85b2,11772f92-4d95-5afb-9152-c2e461ae0e4a,2025-12-04 19:15:02.514537,debit,FT - SBIN0001767 - OFFICE RENT,372446.83,FT2512040001767,
b81473db-bf51-5c67-8422-fef24d6112cf,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-04 23:20:48.688499,debit,RTGS - HDFC0001041 - SWIGGY CORPORATE,490054.83,RT2512040001041,UDxGcjwtrzSAs6urrPZkVHtmn3aptLkOcELVFC58wclQPEZyPC2vNA==
bc51de9d-23e4-590e-b32c-e354a605b11d,fcd8273d-738c-5491-a3d3-7b1f90feba61,2025-12-05 11:57:22.331171,credit,UPI-BAJAJ FINANCE LTD DISBURSEMENT-UBIN0000736-UP2512050000736,22149829.08,UP2512050000736,elOJirqd2Xyfnl4BEcOiX6ZrBVQ/gqIL5w27hNZmKu16U4mKup3ZfA==
98f79599-7e7e-5ed3-8776-4ab1d4908f47,fcd8273d-738c-5491-a3d3-7b1f90feba61,2025-12-05 17:50:03.064369,debit,NEFT - UBIN0000341 - INDIGO AIRLINES,319911.95,NE2512050000341,
bdfd4428-ea11-5379-a37a-27cd546987a3,6fce8c8a-c915-571c-b259-2cb24ae02c2a,2025-12-05 21:19:27.229491,debit,IMPS - TMBL0001861 - RELIANCE DIGITAL RETAIL LTD,353999.95,IM2512050001861,rmy7nYf1LKM3ct1kurPK0jBQ2XeJXzm7xWUV2mIW1baubLudh/Usow==
b7071eb5-d493-5f5c-ba2d-3a315a7e122d,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2025-12-05 23:04:28.067132,debit,UPI-SOFTWARE SUBSCRIPTION-KKBK0001664-UP2512050001664,475297.85,UP2512050001664,vTywyo63E3IaViyOeS9S6/2dbt7n7SeIBdu2vhLLta69PLDKjrcTcg==
f4331ad1-4013-53b9-9659-b6763087e065,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-12-06 01:28:14.531974,debit,FT - UBIN0000840 - NEFT CHARGES,1915.02,FT2512060000840,zgGZPpLQncWDNlrOl2gcuIZCUPiuXi9nXMj5HtFF9uLOAZk+ktCdxQ==
06c0a6e4-7020-52c2-9ebe-6505cbb84509,ef9e989b-5089-570c-9611-7bb8e23c69a6,2025-12-06 07:46:27.081816,credit,NEFT - UBIN0001981 - SELECTRICITY TWO PRIVATE LIMITED,478292.33,NE2512060001981,suvVrcqZMBZVomuBsnqZ+Ra4LRrvpNjFtGUFo6i3L7Gy69WtypkwFg==
9b61bf63-6f6a-50e6-aa74-806e9a928cd3,1001985c-7a6d-546d-b25d-c2efd2615a62,2025-12-06 10:43:15.116141,credit,IMPS - UTIB0002364 - SETTLEMENT CREDIT,4871680.36,IM2512060002364,
4a16ad09-edb8-57e3-a545-de0b40c913a8,27d2dde9-0b51-5375-a39a-7d3324f48a92,2025-12-06 16:37:37.435513,debit,CHEQUE DEBIT - SELECTION MOBILE - INSTRUMENT 00001697,126499.53,CH2512060001697,g42EYJuX2NGhxcmca8Ubp6PvxIxxhlK/orPB0S3fgsaDjYRgm5fY0Q==
0822f99a-4a45-591f-bef4-65ac3ec2e3b4,1425b010-e889-5f57-b12e-bd482ee89eb6,2025-12-06 18:48:22.862651,debit,IMPS - KKBK0001367 - MAKE MY TRIP,231332.19,IM2512060001367,
6d3c4d26-fcbe-5e39-8da2-32dbb41ea6a9,c66af89a-b5ac-5b44-b510-04c6dd44efce,2025-12-06 19:08:14.694702,credit,RTGS - AUBL0001720 - UPI COLLECTION,611139.56,RT2512060001720,
af7002c5-b356-57b4-b3a3-271db3744744,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2025-12-06 21:58:15.030294,credit,FT - KKBK0001376 - REFUND RECEIVED,1283861.79,FT2512060001376,zKsDYD20FevJyp4l6eSs6sAiXf4PspVQqjZTc9+Z8rLMqwNgPbQV6w==
fca4cb2e-2587-5bec-ad32-2e720ef8308a,8b0ad8b7-30f1-53d4-9794-a73bfa3e0914,2025-12-06 23:40:01.579379,credit,UPI-IMPS INWARD-ICIC0002225-UP2512060002225,301517.90,UP2512060002225,8U73oQyiy3LwqRVz/gUKtBBL46bwukAV4j8JUr98qKPxTvehDKLLcg==
7787120a-3146-5512-84ce-0aba7412e35b,6f306737-dfa8-4bf7-8003-be64034b8dea,2025-12-07 01:14:26.777326,debit,UPI-BLUE DART-HDFC0000173-UP2512070000173,166843.55,UP2512070000173,dp57w3xxVyu7yBKelQ+At92QP15MJXysnP1MWEeRrNp2nnvDfHFXKw==
32990b1c-77c9-502d-a4fc-b840a4ec908e,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-07 01:22:17.893382,debit,RTGS - ICIC0001493 - AIRTEL BUSINESS,43021.72,RT2512070001493,9auCY1vddAl6C5SRAqHimfcwVojeglZa2/J/QfdU9zb1q4JjW910CQ==
35054ccc-024a-58e8-b88c-6ac8a916f09b,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-12-07 02:31:39.921123,credit,CHEQUE CREDIT - CHEQUE DEPOSITS - INSTRUMENT 00001931,1128620.46,CH2512070001931,SNNPqI9ZwWxiRF8llxEQmQzSGgEJVRvSkyvyBzg1EYdI00+oj1nBbA==
04e3877f-4cbc-54a9-ba9e-572dff68498c,212239b5-63d9-4da6-aa8c-46485e0f8a42,2025-12-07 02:53:43.561824,credit,UPI-UPI COLLECTION-SBIN0000735-UP2512070000735,331253.28,UP2512070000735,wuE/crQhPDpdVCCF7Y19T2YgfxiZohpjHDIRIO5rukfC4T9ytCE8Og==
52246a1c-e967-5f81-bb56-dad2f9106113,7131ac54-91bf-587e-be4a-0f8efdacb632,2025-12-07 04:15:18.066415,debit,FT - AUBL0001365 - RELIANCE DIGITAL RETAIL LTD,288651.97,FT2512070001365,
45e7f528-c660-5b6f-975f-a0ca4ea272f8,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-07 05:45:01.410114,debit,IMPS - HDFC0001763 - ATM CASH WITHDRAWAL,452431.98,IM2512070001763,nVG7Cnl8WjYq1PIb1GVv/sH5M0FRV2xgdUlaHDtCe9udUbsKeXxaNg==
a95ee7b2-5acb-5ea1-b53f-e041dcffd062,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-12-07 06:02:37.895235,credit,NEFT - UTIB0001411 - CUSTOMER COLLECTION,1018432.70,NE2512070001411,Lo8Fvr8v7glTB1Rpu5DB2zmlGwF0EcmCjkbqHsK4/YUujwW+vy/uCQ==
054b0df8-47da-5619-b963-be72fb027b58,7131ac54-91bf-587e-be4a-0f8efdacb632,2025-12-07 08:42:56.480909,debit,FT - AUBL0002287 - VENDOR SETTLEMENT,471808.03,FT2512070002287,V/hIkqzdRebNRrGO5KOLmCt/oC2+p3t7lNHXhgmqCGVX+EiSrN1F5g==
74801226-6649-528c-a2b6-1fa0069780cc,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-07 16:13:58.706959,debit,IMPS - ICIC0000208 - JIO BUSINESS,186214.41,IM2512070000208,oqOM0up9xZxbNqqAGUiYhkoQIdipELAKaKFhLHOZi9Gio4zS6n3FnA==
34af2c1e-9161-5b22-85c3-30cb43bf1e17,7131ac54-91bf-587e-be4a-0f8efdacb632,2025-12-07 18:22:46.576091,credit,RTGS - AUBL0000456 - SELECTRICITY TWO PRIVATE LIMITED,671412.57,RT2512070000456,VneB92LVkye9gWM9V1dyI8GdKtX4roQekdTwwUnHsHxWd4H3YtWTJw==
dee5e6d5-21a4-528e-a7fd-4427d8d2e289,34448e78-c3fe-4b5d-be8c-a45a6349b8d4,2025-12-07 18:49:16.935109,debit,RTGS - UTIB0000121 - SWIGGY CORPORATE,486160.02,RT2512070000121,
96aad41b-9fa4-51da-8346-2a6f021cbc83,fcd8273d-738c-5491-a3d3-7b1f90feba61,2025-12-08 00:12:45.529486,credit,CHEQUE CREDIT - UPI COLLECTION - INSTRUMENT 00002280,316316.20,CH2512080002280,
004351af-acbf-542e-9dc2-56344765ed75,6fce8c8a-c915-571c-b259-2cb24ae02c2a,2025-12-08 01:08:21.658627,credit,FT - TMBL0000814 - SETTLEMENT CREDIT,7786327.56,FT2512080000814,HMoBiRH8qIFHgIm558Wh5VxFxZGYCv7V817D7yBS7EkcygGJEfyogQ==
1649975b-7b43-575f-9d8f-a07b011f56a4,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2025-12-08 04:38:07.019014,debit,CHEQUE DEBIT - SALARY PAYOUT - INSTRUMENT 00000882,4025639.79,CH2512080000882,w4WKHRGGXEXb+xjbf0KtW0hJKp+RMVqkKWAeyTnnoorDhYodEYZcRQ==
1e0ba7c4-e1be-5766-acc1-99d3c02f173e,2d52dda2-d98a-4381-af80-45bdb173860c,2025-12-08 09:08:07.153647,debit,RTGS - CNRB0000611 - NAVYUG SELECTION,281823.54,RT2512080000611,kJcMXs+BlubyHL8VsmF5laLMq9Cjp/BYzhwt6HsMAG+Qlwxez4GW5g==
c239395b-30f0-57ad-8eb8-d3585fef493e,8b0ad8b7-30f1-53d4-9794-a73bfa3e0914,2025-12-08 09:51:23.700719,debit,UPI-RELIANCE DIGITAL RETAIL LTD-ICIC0000893-UP2512080000893,250195.95,UP2512080000893,btBz2ydhp/qc8IHShS60lcfouIdKKUNkeGZhcA3g3iJu0HPbJ2Gn+g==
17a650f4-e982-53a3-95ac-7593152b880f,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-08 14:09:46.865192,credit,RTGS - HDFC0001859 - SELECTRICITY TWO PRIVATE LIMITED,522630.58,RT2512080001859,dbs1Z1ZD+c1yts2/1SA6f0eYJ8bp0wu0f8dU1Um7U1V1uzVnVkP5zQ==
3b05aa88-d512-572d-a950-07d59f5a20d6,8b0ad8b7-30f1-53d4-9794-a73bfa3e0914,2025-12-08 18:43:37.413962,debit,IMPS - ICIC0000734 - RELIANCE DIGITAL RETAIL LTD,192954.79,,m4NAmyk28GMkxZsU2hVxD3pg9K9ZfiO785Ba+z3oBT+bg0CbKTbwYw==
beaeb5a7-73fe-5d7c-97f2-ea99a39c9d03,7131ac54-91bf-587e-be4a-0f8efdacb632,2025-12-09 04:18:18.851720,debit,NEFT - AUBL0002177 - MICROSOFT AZURE INDIA,334459.49,NE2512090002177,
84e29df9-1808-5969-a765-2be24c8d7d5e,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-09 09:19:43.505856,debit,UPI-INSURANCE PREMIUM-ICIC0000849-UP2512090000849,200679.77,UP2512090000849,So+HzeiN7Sew4ycOCgitqRQlG33g5Zo9JZIX2HIr3SFKj4fN6I3tJw==
c3d5a58c-424e-50c1-a771-ce5cb7f3c893,c66af89a-b5ac-5b44-b510-04c6dd44efce,2025-12-09 09:54:20.240402,credit,CHEQUE CREDIT - SELECTRICITY TWO PRIVATE LIMITED - INSTRUMENT 00001704,1042611.40,CH2512090001704,
c1092106-2c9f-536b-9951-b7b2cc11051a,ef9e989b-5089-570c-9611-7bb8e23c69a6,2025-12-09 14:18:16.723784,credit,UPI-UPI COLLECTION-UBIN0001416-UP2512090001416,333180.59,UP2512090001416,rRTcVFrRZY5a/7YP1j5msl5ZEW57gOFe5acNkbtwvJGtFNxUWtFljg==
237cbe11-7420-5b46-8599-0ed838d3763f,6fce8c8a-c915-571c-b259-2cb24ae02c2a,2025-12-09 14:57:48.315672,debit,UPI-AIRTEL BUSINESS-TMBL0001732-UP2512090001732,458400.81,UP2512090001732,
c977a225-bb11-541c-ae8b-9ad7430774a1,8b0ad8b7-30f1-53d4-9794-a73bfa3e0914,2025-12-09 15:07:04.070791,debit,IMPS - ICIC0001412 - SELECTION ELECTRONICS DAHISAR EAST,244089.50,IM2512090001412,
a94734f5-fb9c-54f9-9f2f-38c8293c640d,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-12-09 17:55:19.907363,debit,IMPS - UBIN0002165 - DELHIVERY,70809.59,IM2512090002165,8us1+cVxUvUEOVqZCDkV7U1fYoOoy0c+H7hi614/XNvy6zX5xXFS9Q==
90541c77-11ac-537d-b00c-18251fe7103f,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-12-09 19:05:17.471391,credit,FT - ICIC0000310 - INTEREST CREDIT,165277.97,FT2512090000310,lg9qy+iMoOI/pNVr26T7OTu8+1C8AJRb0Ck4nCOsQb+WD2rL6Iyg4g==
b6e62ab2-de83-540e-b017-9739eb3e51b6,27d2dde9-0b51-5375-a39a-7d3324f48a92,2025-12-09 20:54:03.666161,debit,FT - RATN0000478 - NAVYUG SELECTION,122042.51,FT2512090000478,
3a88ca01-49ac-5201-93d9-36d704645cd8,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-12-09 23:50:42.447737,debit,UPI-SELECTION ELECTRONICS DAHISAR EAST-UBIN0000494-UP2512090000494,164864.95,UP2512090000494,vPvsEtZybBE1G/LY4fnKZGg7WUZ+vxoIBizyfyZPpFO8++wS1nJsEQ==
5b0b319b-0404-5f28-bc1b-43f85198971d,1ae840af-6fb8-5e48-a849-370dc36e9b3a,2025-12-10 00:21:28.661373,debit,IMPS - HDFC0000987 - TDS PAYMENT,381448.57,IM2512100000987,wXVNOeFjTSEiE3XzD4pQKfQWHVlCwJY5X32IDTapOgnBdU054WNNIQ==
c19f1d19-45b1-50d8-90e2-385b00518ba1,34bece0e-0264-5663-94b8-4e2c54c07448,2025-12-10 01:25:24.937248,credit,FT - HDFC0001773 - NEFT INWARD,236270.89,FT2512100001773,kVnxw+AZSm+4mdK043G3EpC1YR7x67gk/VpPJajR79KRWfHD4BlKbw==
55f91d9a-ebf6-54d5-b8b9-da228076fbc8,342b88ca-0ab5-583f-896b-9692cd7b9978,2025-12-10 04:06:46.705721,debit,CHEQUE DEBIT - NEFT CHARGES - INSTRUMENT 00000880,1274.60,CH2512100000880,NMNTE2BkoGLB1H20wv6KBiSm3aIkTDMcupkXnVb7CMA0w1MTYGSgYg==
ae1ce55c-2d74-5b4f-8288-2f51cdeac534,1001985c-7a6d-546d-b25d-c2efd2615a62,2025-12-10 04:46:33.654989,debit,NEFT - UTIB0001399 - RELIANCE DIGITAL RETAIL LTD,455935.61,NE2512100001399,ASjLPcmLoIRxKv1yF8lAA6mXPnysG680lCMYj7XD9e8BKMs9yYughA==
71b9f5ed-bd3c-58e0-9bd7-a5bd1640a1ff,bfbfe347-11d6-48d7-acff-4f091f59d34b,2025-12-10 06:33:28.155136,debit,CHEQUE DEBIT - AIRTEL BUSINESS - INSTRUMENT 00000823,349619.25,CH2512100000823,
0b12de46-55a5-5a06-bedd-09ab5c6b71b0,1425b010-e889-5f57-b12e-bd482ee89eb6,2025-12-10 08:02:13.085400,debit,FT - KKBK0000160 - JIO BUSINESS,480959.55,FT2512100000160,3OFcNJuQbwOCXxN6HaX3EoafyYdnhxrnqKSr+Tr3CGHc4Vw0m5BvAw==
8f447fc9-f50d-5085-9858-a8421e987d56,c66af89a-b5ac-5b44-b510-04c6dd44efce,2025-12-10 08:08:37.267773,debit,FT - AUBL0001464 - SELECTION ELECTRONICS DAHISAR EAST,99027.54,FT2512100001464,g0XfbAuc6bs/Gc1IdG3fkWnGcDvxd0p+hRgsAXqCmaqDRd9sC5zpuw==
c2fcb1d6-e466-5527-bcad-198fc150ec46,4599b5b3-a025-5b0b-b7ae-9d385c9f0394,2025-12-10 15:01:38.597115,debit,NEFT - ICIC0001825 - GST PAYMENT,4205876.83,NE2512100001825,m7g7oY+6zfH4xl5tMSrha/QHlkpW3EpsJn/bzuExnKebuDuhj7rN8Q==
e6760e73-4f1b-5fb5-96d3-bd7bea5a0c96,1001985c-7a6d-546d-b25d-c2efd2615a62,2025-12-10 18:28:18.876485,credit,CHEQUE CREDIT - REFUND RECEIVED - INSTRUMENT 00001161,238374.00,CH2512100001161,bMpNQtaxdjerCDZYezqTg3YeHeTGLuTAL3rIRqxrnUxsyk1C1rF2Nw==
c908e74c-a856-5bd7-ba79-3a4478d1e22a,a6d29e4b-510b-5184-a7f8-097fb2579f10,2025-12-10 20:10:58.177771,debit,NEFT - CNRB0000697 - NEFT CHARGES,2226.95,NE2512100000697,a2Ov1eN2C1z0wWuxS0WTyzbPVY4V0sTzmYgPXwfA+1lrY6/V43YLXA==
297aa7ef-2739-5897-b81a-202b87103c19,6f306737-dfa8-4bf7-8003-be64034b8dea,2025-12-11 02:06:34.819624,debit,FT - HDFC0002198 - ATM CASH WITHDRAWAL,248669.10,FT2512110002198,
36a825db-cff8-585d-871f-ed5c4f2b869c,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2025-12-11 03:14:05.439899,debit,IMPS - SBIN0000990 - NAVYUG SELECTION,251940.05,IM2512110000990,
6c4d61c4-eb30-5f84-824e-0af8ece33a8e,2d52dda2-d98a-4381-af80-45bdb173860c,2025-12-11 05:03:20.566138,debit,UPI-MICROSOFT AZURE INDIA-CNRB0000147-UP2512110000147,84100.58,UP2512110000147,tDNvbo2C6QycZF9C2QxgOblONWHqmhisSQ3m4DC5VyS0M29ujYLpDA==
3bfd43f5-f1ca-53ea-b2a8-2abbab95abe1,1425b010-e889-5f57-b12e-bd482ee89eb6,2025-12-11 06:37:45.741521,debit,IMPS - KKBK0001100 - GOOGLE CLOUD INDIA,343135.58,IM2512110001100,pU27qJAHEYXLk05l9yJFNUgNOXpuELi816LDzTVxD9qlTbuokAcRhQ==
