reconciliation_id,company_id,transaction_id,reconciliation_type,status,reconciled_amount,unreconciled_amount,currency,matched_record_count,bank_statement_reference,matched_on,reason_code,owner,notes,last_reviewed_at
REC-000020,CMP-NL-001,TXN-000035,bank_to_ledger,reconciled,623422.78,0.00,INR,1,BANK-20250414-000020,2025-04-28,,Neha Rao,Synthetic reconciliation record.,2025-04-20T17:30:00+05:30
REC-000021,CMP-NL-001,TXN-000001,card_to_receipt,reconciled,178413.82,0.00,INR,1,BANK-20250415-000021,2025-04-19,,Rohit Menon,Synthetic reconciliation record.,2025-04-23T17:30:00+05:30
REC-000022,CMP-NL-001,TXN-000045,card_to_receipt,unreconciled,0.00,17600.27,INR,0,,,missing_bank_match,Neha Rao,Synthetic reconciliation record.,2025-04-29T17:30:00+05:30
REC-000023,CMP-NL-001,TXN-000049,invoice_to_payout,reconciled,55657.48,0.00,INR,1,BANK-20250415-000023,2025-04-28,,Neha Rao,Synthetic reconciliation record.,2025-04-19T17:30:00+05:30
REC-000024,CMP-NL-001,TXN-000057,invoice_to_payout,reconciled,19760.59,0.00,INR,1,BANK-20250416-000024,2025-04-26,,Neha Rao,Synthetic reconciliation record.,2025-04-25T17:30:00+05:30
REC-000025,CMP-NL-001,TXN-000022,invoice_to_payout,reconciled,44680.45,0.00,INR,1,BANK-20250418-000025,2025-04-21,,Neha Rao,Synthetic reconciliation record.,2025-04-24T17:30:00+05:30
REC-000026,CMP-NL-001,TXN-000025,card_to_receipt,reconciled,66025.21,0.00,INR,1,BANK-20250418-000026,2025-04-21,,Asha Nair,Synthetic reconciliation record.,2025-04-27T17:30:00+05:30
REC-000027,CMP-NL-001,TXN-000034,card_to_receipt,reconciled,414545.12,0.00,INR,1,BANK-20250418-000027,2025-04-26,,Neha Rao,Synthetic reconciliation record.,2025-04-25T17:30:00+05:30
REC-000028,CMP-NL-001,TXN-000043,bank_to_ledger,reconciled,126353.50,0.00,INR,1,BANK-20250418-000028,2025-05-02,,Kabir Shah,Synthetic reconciliation record.,2025-04-27T17:30:00+05:30
REC-000029,CMP-NL-001,TXN-000047,card_to_receipt,reconciled,70915.18,0.00,INR,1,BANK-20250418-000029,2025-04-25,,Kabir Shah,Synthetic reconciliation record.,2025-04-27T17:30:00+05:30
REC-000030,CMP-NL-001,TXN-000053,invoice_to_payout,reconciled,21124.34,0.00,INR,1,BANK-20250418-000030,2025-04-27,,Neha Rao,Synthetic reconciliation record.,2025-05-03T17:30:00+05:30
REC-000031,CMP-NL-001,TXN-000011,invoice_to_payout,reconciled,34438.45,0.00,INR,1,BANK-20250419-000031,2025-04-24,,Kabir Shah,Synthetic reconciliation record.,2025-05-07T17:30:00+05:30
REC-000032,CMP-NL-001,TXN-000014,invoice_to_payout,reconciled,92657.70,0.00,INR,1,BANK-20250420-000032,2025-04-26,,Asha Nair,Synthetic reconciliation record.,2025-04-21T17:30:00+05:30
REC-000033,CMP-NL-001,TXN-000018,card_to_receipt,reconciled,226807.70,0.00,INR,1,BANK-20250420-000033,2025-05-01,,Asha Nair,Synthetic reconciliation record.,2025-04-23T17:30:00+05:30
REC-000034,CMP-NL-001,TXN-000027,bank_to_ledger,reconciled,440799.99,0.00,INR,1,BANK-20250420-000034,2025-04-27,,Neha Rao,Synthetic reconciliation record.,2025-04-29T17:30:00+05:30
REC-000035,CMP-NL-001,TXN-000036,invoice_to_payout,reconciled,236946.86,0.00,INR,1,BANK-20250421-000035,2025-05-03,,Neha Rao,Synthetic reconciliation record.,2025-04-30T17:30:00+05:30
REC-000036,CMP-NL-001,TXN-000037,invoice_to_payout,reconciled,217714.45,0.00,INR,1,BANK-20250421-000036,2025-04-24,,Kabir Shah,Synthetic reconciliation record.,2025-04-23T17:30:00+05:30
REC-000037,CMP-NL-001,TXN-000041,invoice_to_payout,reconciled,172742.33,0.00,INR,1,BANK-20250425-000037,2025-05-10,,Rohit Menon,Synthetic reconciliation record.,2025-05-06T17:30:00+05:30
REC-000038,CMP-NL-001,TXN-000020,card_to_receipt,unreconciled,0.00,66445.65,INR,0,,,missing_bank_match,Asha Nair,Synthetic reconciliation record.,2025-05-13T17:30:00+05:30
REC-000039,CMP-NL-001,TXN-000017,card_to_receipt,reconciled,146808.77,0.00,INR,1,BANK-20250427-000039,2025-05-10,,Asha Nair,Synthetic reconciliation record.,2025-05-05T17:30:00+05:30
REC-000040,CMP-NL-001,TXN-000046,card_to_receipt,unreconciled,0.00,94843.17,INR,0,,,missing_receipt,Rohit Menon,Synthetic reconciliation record.,2025-05-16T17:30:00+05:30
REC-000041,CMP-NL-001,TXN-000054,invoice_to_payout,reconciled,176063.13,0.00,INR,1,BANK-20250428-000041,2025-05-08,,Rohit Menon,Synthetic reconciliation record.,2025-05-18T17:30:00+05:30
REC-000042,CMP-NL-001,TXN-000015,bank_to_ledger,reconciled,28274.95,0.00,INR,1,BANK-20250429-000042,2025-04-29,,Kabir Shah,Synthetic reconciliation record.,2025-05-04T17:30:00+05:30
REC-000043,CMP-NL-001,TXN-000048,bank_to_ledger,reconciled,139168.74,0.00,INR,1,BANK-20250429-000043,2025-05-14,,Asha Nair,Synthetic reconciliation record.,2025-05-12T17:30:00+05:30
REC-000044,CMP-NL-001,TXN-000056,invoice_to_payout,reconciled,16487.62,0.00,INR,1,BANK-20250429-000044,2025-04-30,,Rohit Menon,Synthetic reconciliation record.,2025-05-11T17:30:00+05:30
REC-000045,CMP-NL-001,TXN-000004,invoice_to_payout,reconciled,386166.58,0.00,INR,1,BANK-20250430-000045,2025-05-07,,Asha Nair,Synthetic reconciliation record.,2025-05-19T17:30:00+05:30
REC-000046,CMP-NL-001,TXN-000005,invoice_to_payout,reconciled,470122.99,0.00,INR,1,BANK-20250430-000046,2025-05-05,,Rohit Menon,Synthetic reconciliation record.,2025-05-14T17:30:00+05:30
REC-000047,CMP-NL-001,TXN-000030,card_to_receipt,reconciled,96124.82,0.00,INR,1,BANK-20250430-000047,2025-05-03,,Asha Nair,Synthetic reconciliation record.,2025-05-14T17:30:00+05:30
REC-000048,CMP-NL-001,TXN-000052,card_to_receipt,reconciled,27698.68,0.00,INR,1,BANK-20250430-000048,2025-05-05,,Kabir Shah,Synthetic reconciliation record.,2025-05-16T17:30:00+05:30
REC-000049,CMP-NL-001,TXN-000055,card_to_receipt,reconciled,109658.84,0.00,INR,1,BANK-20250430-000049,2025-05-09,,Kabir Shah,Synthetic reconciliation record.,2025-05-10T17:30:00+05:30
REC-000050,CMP-NL-001,TXN-000003,invoice_to_payout,reconciled,343287.49,0.00,INR,1,BANK-20250501-000050,2025-05-01,,Rohit Menon,Synthetic reconciliation record.,2025-05-17T17:30:00+05:30
REC-000051,CMP-NL-001,TXN-000028,bank_to_ledger,reconciled,340247.85,0.00,INR,1,BANK-20250501-000051,2025-05-09,,Neha Rao,Synthetic reconciliation record.,2025-05-20T17:30:00+05:30
REC-000052,CMP-NL-001,TXN-000031,invoice_to_payout,unreconciled,0.00,206519.80,INR,0,,,timing_difference,Kabir Shah,Synthetic reconciliation record.,2025-05-07T17:30:00+05:30
REC-000053,CMP-NL-001,TXN-000039,card_to_receipt,reconciled,52183.58,0.00,INR,1,BANK-20250501-000053,2025-05-01,,Kabir Shah,Synthetic reconciliation record.,2025-05-19T17:30:00+05:30
REC-000054,CMP-NL-001,TXN-000040,invoice_to_payout,unreconciled,0.00,276242.86,INR,0,,,reference_mismatch,Neha Rao,Synthetic reconciliation record.,2025-05-06T17:30:00+05:30
REC-000055,CMP-NL-001,TXN-000083,card_to_receipt,partially_reconciled,111007.15,13044.05,INR,1,BANK-20250502-000055,,amount_mismatch,Neha Rao,Synthetic reconciliation record.,2025-05-10T17:30:00+05:30
REC-000056,CMP-NL-001,TXN-000090,card_to_receipt,reconciled,334204.95,0.00,INR,1,BANK-20250502-000056,2025-05-10,,Asha Nair,Synthetic reconciliation record.,2025-05-15T17:30:00+05:30
REC-000057,CMP-NL-001,TXN-000009,invoice_to_payout,reconciled,120660.54,0.00,INR,1,BANK-20250503-000057,2025-05-04,,Rohit Menon,Synthetic reconciliation record.,2025-05-22T17:30:00+05:30
REC-000058,CMP-NL-001,TXN-000064,card_to_receipt,reconciled,341029.93,0.00,INR,1,BANK-20250503-000058,2025-05-16,,Neha Rao,Synthetic reconciliation record.,2025-05-04T17:30:00+05:30
REC-000059,CMP-NL-001,TXN-000066,card_to_receipt,reconciled,199692.83,0.00,INR,1,BANK-20250503-000059,2025-05-11,,Neha Rao,Synthetic reconciliation record.,2025-05-11T17:30:00+05:30
REC-000060,CMP-NL-001,TXN-000100,invoice_to_payout,reconciled,421480.40,0.00,INR,1,BANK-20250504-000060,2025-05-10,,Rohit Menon,Synthetic reconciliation record.,2025-05-09T17:30:00+05:30
REC-000061,CMP-NL-001,TXN-000107,invoice_to_payout,reconciled,77781.53,0.00,INR,1,BANK-20250504-000061,2025-05-06,,Kabir Shah,Synthetic reconciliation record.,2025-05-21T17:30:00+05:30
REC-000062,CMP-NL-001,TXN-000091,card_to_receipt,reconciled,253752.49,0.00,INR,1,BANK-20250505-000062,2025-05-13,,Neha Rao,Synthetic reconciliation record.,2025-05-16T17:30:00+05:30
REC-000063,CMP-NL-001,TXN-000082,bank_to_ledger,reconciled,61332.84,0.00,INR,1,BANK-20250506-000063,2025-05-16,,Rohit Menon,Synthetic reconciliation record.,2025-05-18T17:30:00+05:30
REC-000064,CMP-NL-001,TXN-000088,card_to_receipt,unreconciled,0.00,79357.22,INR,0,,,missing_bank_match,Kabir Shah,Synthetic reconciliation record.,2025-05-12T17:30:00+05:30
REC-000065,CMP-NL-001,TXN-000103,invoice_to_payout,reconciled,8925.85,0.00,INR,1,BANK-20250506-000065,2025-05-12,,Rohit Menon,Synthetic reconciliation record.,2025-05-23T17:30:00+05:30
REC-000066,CMP-NL-001,TXN-000092,bank_to_ledger,reconciled,187071.70,0.00,INR,1,BANK-20250507-000066,2025-05-14,,Neha Rao,Synthetic reconciliation record.,2025-05-27T17:30:00+05:30
REC-000067,CMP-NL-001,TXN-000110,invoice_to_payout,reconciled,91457.16,0.00,INR,1,BANK-20250508-000067,2025-05-15,,Asha Nair,Synthetic reconciliation record.,2025-05-12T17:30:00+05:30
REC-000068,CMP-NL-001,TXN-000068,card_to_receipt,reconciled,96760.53,0.00,INR,1,BANK-20250509-000068,2025-05-21,,Asha Nair,Synthetic reconciliation record.,2025-05-14T17:30:00+05:30
REC-000069,CMP-NL-001,TXN-000097,invoice_to_payout,unreconciled,0.00,35906.44,INR,0,,,missing_receipt,Kabir Shah,Synthetic reconciliation record.,2025-05-18T17:30:00+05:30
REC-000070,CMP-NL-001,TXN-000059,card_to_receipt,reconciled,224744.86,0.00,INR,1,BANK-20250511-000070,2025-05-19,,Kabir Shah,Synthetic reconciliation record.,2025-05-22T17:30:00+05:30
REC-000071,CMP-NL-001,TXN-000060,card_to_receipt,unreconciled,0.00,629910.09,INR,0,,,timing_difference,Neha Rao,Synthetic reconciliation record.,2025-05-17T17:30:00+05:30
REC-000072,CMP-NL-001,TXN-000077,bank_to_ledger,reconciled,206677.24,0.00,INR,1,BANK-20250511-000072,2025-05-23,,Neha Rao,Synthetic reconciliation record.,2025-05-13T17:30:00+05:30
REC-000073,CMP-NL-001,TXN-000095,bank_to_ledger,reconciled,85669.56,0.00,INR,1,BANK-20250511-000073,2025-05-16,,Rohit Menon,Synthetic reconciliation record.,2025-05-14T17:30:00+05:30
REC-000074,CMP-NL-001,TXN-000087,invoice_to_payout,reconciled,114641.20,0.00,INR,1,BANK-20250513-000074,2025-05-20,,Kabir Shah,Synthetic reconciliation record.,2025-05-14T17:30:00+05:30
REC-000075,CMP-NL-001,TXN-000084,invoice_to_payout,reconciled,101080.83,0.00,INR,1,BANK-20250514-000075,2025-05-27,,Asha Nair,Synthetic reconciliation record.,2025-05-30T17:30:00+05:30
REC-000076,CMP-NL-001,TXN-000098,bank_to_ledger,reconciled,91445.32,0.00,INR,1,BANK-20250514-000076,2025-05-19,,Neha Rao,Synthetic reconciliation record.,2025-05-20T17:30:00+05:30
REC-000077,CMP-NL-001,TXN-000085,bank_to_ledger,reconciled,973996.88,0.00,INR,1,BANK-20250516-000077,2025-05-28,,Neha Rao,Synthetic reconciliation record.,2025-06-01T17:30:00+05:30
REC-000078,CMP-NL-001,TXN-000101,bank_to_ledger,reconciled,18471.12,0.00,INR,1,BANK-20250516-000078,2025-05-22,,Neha Rao,Synthetic reconciliation record.,2025-05-21T17:30:00+05:30
REC-000079,CMP-NL-001,TXN-000108,bank_to_ledger,reconciled,42266.68,0.00,INR,1,BANK-20250518-000079,2025-05-31,,Asha Nair,Synthetic reconciliation record.,2025-05-21T17:30:00+05:30
REC-000080,CMP-NL-001,TXN-000073,card_to_receipt,reconciled,21377.35,0.00,INR,1,BANK-20250520-000080,2025-05-26,,Neha Rao,Synthetic reconciliation record.,2025-06-05T17:30:00+05:30
REC-000081,CMP-NL-001,TXN-000081,invoice_to_payout,unreconciled,0.00,72938.49,INR,0,,,timing_difference,Rohit Menon,Synthetic reconciliation record.,2025-06-03T17:30:00+05:30
REC-000082,CMP-NL-001,TXN-000058,invoice_to_payout,reconciled,152610.33,0.00,INR,1,BANK-20250521-000082,2025-05-25,,Kabir Shah,Synthetic reconciliation record.,2025-05-30T17:30:00+05:30
REC-000083,CMP-NL-001,TXN-000071,card_to_receipt,unreconciled,0.00,94580.77,INR,0,,,reference_mismatch,Rohit Menon,Synthetic reconciliation record.,2025-05-27T17:30:00+05:30
REC-000084,CMP-NL-001,TXN-000080,bank_to_ledger,reconciled,69470.29,0.00,INR,1,BANK-20250521-000084,2025-05-22,,Neha Rao,Synthetic reconciliation record.,2025-06-05T17:30:00+05:30
REC-000085,CMP-NL-001,TXN-000086,card_to_receipt,reconciled,309177.30,0.00,INR,1,BANK-20250521-000085,2025-06-01,,Asha Nair,Synthetic reconciliation record.,2025-05-25T17:30:00+05:30
REC-000086,CMP-NL-001,TXN-000093,card_to_receipt,reconciled,169211.32,0.00,INR,1,BANK-20250522-000086,2025-05-23,,Neha Rao,Synthetic reconciliation record.,2025-06-01T17:30:00+05:30
REC-000087,CMP-NL-001,TXN-000063,invoice_to_payout,reconciled,319159.50,0.00,INR,1,BANK-20250523-000087,2025-05-23,,Asha Nair,Synthetic reconciliation record.,2025-05-26T17:30:00+05:30
REC-000088,CMP-NL-001,TXN-000069,invoice_to_payout,reconciled,43560.65,0.00,INR,1,BANK-20250523-000088,2025-06-06,,Neha Rao,Synthetic reconciliation record.,2025-05-31T17:30:00+05:30
REC-000089,CMP-NL-001,TXN-000089,bank_to_ledger,reconciled,80691.38,0.00,INR,1,BANK-20250523-000089,2025-05-23,,Neha Rao,Synthetic reconciliation record.,2025-05-27T17:30:00+05:30
REC-000090,CMP-NL-001,TXN-000102,bank_to_ledger,reconciled,17075.61,0.00,INR,1,BANK-20250523-000090,2025-05-25,,Rohit Menon,Synthetic reconciliation record.,2025-06-08T17:30:00+05:30
REC-000091,CMP-NL-001,TXN-000062,bank_to_ledger,reconciled,213255.68,0.00,INR,1,BANK-20250524-000091,2025-06-03,,Asha Nair,Synthetic reconciliation record.,2025-05-26T17:30:00+05:30
REC-000092,CMP-NL-001,TXN-000076,invoice_to_payout,reconciled,110785.02,0.00,INR,1,BANK-20250525-000092,2025-05-30,,Neha Rao,Synthetic reconciliation record.,2025-05-31T17:30:00+05:30
REC-000093,CMP-NL-001,TXN-000065,bank_to_ledger,reconciled,148439.83,0.00,INR,1,BANK-20250526-000093,2025-06-02,,Neha Rao,Synthetic reconciliation record.,2025-06-01T17:30:00+05:30
REC-000094,CMP-NL-001,TXN-000070,bank_to_ledger,reconciled,27774.64,0.00,INR,1,BANK-20250526-000094,2025-06-08,,Neha Rao,Synthetic reconciliation record.,2025-06-15T17:30:00+05:30
REC-000095,CMP-NL-001,TXN-000104,card_to_receipt,reconciled,93646.45,0.00,INR,1,BANK-20250526-000095,2025-06-10,,Kabir Shah,Synthetic reconciliation record.,2025-06-14T17:30:00+05:30
REC-000096,CMP-NL-001,TXN-000061,bank_to_ledger,reconciled,113606.16,0.00,INR,1,BANK-20250527-000096,2025-06-04,,Rohit Menon,Synthetic reconciliation record.,2025-06-07T17:30:00+05:30
REC-000097,CMP-NL-001,TXN-000099,bank_to_ledger,reconciled,373290.00,0.00,INR,1,BANK-20250527-000097,2025-06-04,,Kabir Shah,Synthetic reconciliation record.,2025-06-06T17:30:00+05:30
REC-000098,CMP-NL-001,TXN-000074,bank_to_ledger,reconciled,8151.66,0.00,INR,1,BANK-20250528-000098,2025-06-01,,Kabir Shah,Synthetic reconciliation record.,2025-06-10T17:30:00+05:30
REC-000099,CMP-NL-001,TXN-000072,card_to_receipt,reconciled,19398.07,0.00,INR,1,BANK-20250529-000099,2025-06-08,,Kabir Shah,Synthetic reconciliation record.,2025-06-11T17:30:00+05:30
REC-000100,CMP-NL-001,TXN-000106,bank_to_ledger,reconciled,179404.47,0.00,INR,1,BANK-20250529-000100,2025-06-11,,Rohit Menon,Synthetic reconciliation record.,2025-06-04T17:30:00+05:30
REC-000101,CMP-NL-001,TXN-000067,bank_to_ledger,unreconciled,0.00,119361.59,INR,0,,,reference_mismatch,Asha Nair,Synthetic reconciliation record.,2025-06-10T17:30:00+05:30
REC-000102,CMP-NL-001,TXN-000075,bank_to_ledger,reconciled,7929.38,0.00,INR,1,BANK-20250530-000102,2025-06-12,,Asha Nair,Synthetic reconciliation record.,2025-06-05T17:30:00+05:30
REC-000103,CMP-NL-001,TXN-000109,invoice_to_payout,reconciled,119742.27,0.00,INR,1,BANK-20250530-000103,2025-06-03,,Rohit Menon,Synthetic reconciliation record.,2025-06-18T17:30:00+05:30
REC-000104,CMP-NL-001,TXN-000079,bank_to_ledger,reconciled,50733.01,0.00,INR,1,BANK-20250531-000104,2025-06-10,,Kabir Shah,Synthetic reconciliation record.,2025-06-15T17:30:00+05:30
REC-000105,CMP-NL-001,TXN-000078,card_to_receipt,reconciled,246878.02,0.00,INR,1,BANK-20250601-000105,2025-06-06,,Kabir Shah,Synthetic reconciliation record.,2025-06-09T17:30:00+05:30
REC-000106,CMP-NL-001,TXN-000094,invoice_to_payout,reconciled,99057.38,0.00,INR,1,BANK-20250601-000106,2025-06-16,,Rohit Menon,Synthetic reconciliation record.,2025-06-19T17:30:00+05:30
REC-000107,CMP-NL-001,TXN-000096,invoice_to_payout,reconciled,89262.91,0.00,INR,1,BANK-20250601-000107,2025-06-16,,Kabir Shah,Synthetic reconciliation record.,2025-06-02T17:30:00+05:30
REC-000108,CMP-NL-001,TXN-000133,bank_to_ledger,unreconciled,0.00,99282.82,INR,0,,,timing_difference,Asha Nair,Synthetic reconciliation record.,2025-06-12T17:30:00+05:30
REC-000109,CMP-NL-001,TXN-000154,invoice_to_payout,reconciled,85557.60,0.00,INR,1,BANK-20250604-000109,2025-06-18,,Asha Nair,Synthetic reconciliation record.,2025-06-21T17:30:00+05:30
REC-000110,CMP-NL-001,TXN-000130,bank_to_ledger,reconciled,123734.09,0.00,INR,1,BANK-20250605-000110,2025-06-13,,Kabir Shah,Synthetic reconciliation record.,2025-06-14T17:30:00+05:30
REC-000111,CMP-NL-001,TXN-000156,bank_to_ledger,reconciled,146694.09,0.00,INR,1,BANK-20250605-000111,2025-06-12,,Neha Rao,Synthetic reconciliation record.,2025-06-13T17:30:00+05:30
REC-000112,CMP-NL-001,TXN-000131,bank_to_ledger,reconciled,110119.35,0.00,INR,1,BANK-20250606-000112,2025-06-10,,Rohit Menon,Synthetic reconciliation record.,2025-06-17T17:30:00+05:30
REC-000113,CMP-NL-001,TXN-000153,invoice_to_payout,reconciled,54264.70,0.00,INR,1,BANK-20250607-000113,2025-06-18,,Neha Rao,Synthetic reconciliation record.,2025-06-18T17:30:00+05:30
REC-000114,CMP-NL-001,TXN-000118,invoice_to_payout,reconciled,585586.71,0.00,INR,1,BANK-20250609-000114,2025-06-09,,Asha Nair,Synthetic reconciliation record.,2025-06-11T17:30:00+05:30
REC-000115,CMP-NL-001,TXN-000126,invoice_to_payout,reconciled,28217.07,0.00,INR,1,BANK-20250609-000115,2025-06-18,,Neha Rao,Synthetic reconciliation record.,2025-06-16T17:30:00+05:30
REC-000116,CMP-NL-001,TXN-000141,card_to_receipt,reconciled,119268.17,0.00,INR,1,BANK-20250610-000116,2025-06-15,,Neha Rao,Synthetic reconciliation record.,2025-06-24T17:30:00+05:30
REC-000117,CMP-NL-001,TXN-000155,card_to_receipt,reconciled,39158.42,0.00,INR,1,BANK-20250610-000117,2025-06-13,,Neha Rao,Synthetic reconciliation record.,2025-06-18T17:30:00+05:30
REC-000118,CMP-NL-001,TXN-000146,invoice_to_payout,reconciled,72547.05,0.00,INR,1,BANK-20250611-000118,2025-06-22,,Kabir Shah,Synthetic reconciliation record.,2025-06-18T17:30:00+05:30
REC-000119,CMP-NL-001,TXN-000112,bank_to_ledger,reconciled,232486.13,0.00,INR,1,BANK-20250613-000119,2025-06-14,,Asha Nair,Synthetic reconciliation record.,2025-06-27T17:30:00+05:30
REC-000120,CMP-NL-001,TXN-000121,bank_to_ledger,reconciled,55422.53,0.00,INR,1,BANK-20250613-000120,2025-06-14,,Asha Nair,Synthetic reconciliation record.,2025-06-16T17:30:00+05:30
REC-000121,CMP-NL-001,TXN-000119,card_to_receipt,reconciled,229625.68,0.00,INR,1,BANK-20250614-000121,2025-06-21,,Asha Nair,Synthetic reconciliation record.,2025-06-23T17:30:00+05:30
REC-000122,CMP-NL-001,TXN-000127,invoice_to_payout,reconciled,33417.22,0.00,INR,1,BANK-20250614-000122,2025-06-20,,Rohit Menon,Synthetic reconciliation record.,2025-06-25T17:30:00+05:30
REC-000123,CMP-NL-001,TXN-000149,bank_to_ledger,reconciled,394035.28,0.00,INR,1,BANK-20250614-000123,2025-06-26,,Rohit Menon,Synthetic reconciliation record.,2025-07-03T17:30:00+05:30
REC-000124,CMP-NL-001,TXN-000163,bank_to_ledger,reconciled,64776.35,0.00,INR,1,BANK-20250614-000124,2025-06-18,,Kabir Shah,Synthetic reconciliation record.,2025-06-27T17:30:00+05:30
REC-000125,CMP-NL-001,TXN-000142,card_to_receipt,reconciled,160586.22,0.00,INR,1,BANK-20250615-000125,2025-06-28,,Neha Rao,Synthetic reconciliation record.,2025-06-27T17:30:00+05:30
REC-000126,CMP-NL-001,TXN-000161,bank_to_ledger,reconciled,82815.81,0.00,INR,1,BANK-20250615-000126,2025-06-30,,Rohit Menon,Synthetic reconciliation record.,2025-06-23T17:30:00+05:30
REC-000127,CMP-NL-001,TXN-000162,invoice_to_payout,reconciled,48417.40,0.00,INR,1,BANK-20250615-000127,2025-06-21,,Neha Rao,Synthetic reconciliation record.,2025-06-24T17:30:00+05:30
REC-000128,CMP-NL-001,TXN-000140,card_to_receipt,reconciled,215378.20,0.00,INR,1,BANK-20250616-000128,2025-06-24,,Neha Rao,Synthetic reconciliation record.,2025-06-17T17:30:00+05:30
REC-000129,CMP-NL-001,TXN-000151,invoice_to_payout,reconciled,25534.42,0.00,INR,1,BANK-20250617-000129,2025-06-25,,Neha Rao,Synthetic reconciliation record.,2025-06-22T17:30:00+05:30
REC-000130,CMP-NL-001,TXN-000150,card_to_receipt,reconciled,124838.33,0.00,INR,1,BANK-20250618-000130,2025-06-18,,Neha Rao,Synthetic reconciliation record.,2025-07-04T17:30:00+05:30
REC-000131,CMP-NL-001,TXN-000115,invoice_to_payout,reconciled,348080.03,0.00,INR,1,BANK-20250619-000131,2025-06-26,,Asha Nair,Synthetic reconciliation record.,2025-06-27T17:30:00+05:30
