payout_id,company_id,vendor_id,invoice_transaction_id,scheduled_date,payout_date,payout_status,gross_amount,fee_amount,net_cash_outflow,currency,payment_method,bank_reference,invoice_reference,failure_reason,source_system,created_at
PAY-000077,CMP-NL-001,V0018,TXN-000081,2025-07-04,2025-05-24,failed,72938.49,0.00,0.00,INR,UPI,UTR-250524-000077,INV-V0018-2505-5339,Daily payment limit exceeded,AP Automation,2025-05-20T10:00:00+05:30
PAY-000079,CMP-NL-001,V0019,TXN-000083,2025-05-15,2025-05-24,reversed,124051.20,0.00,0.00,INR,UPI,UTR-250524-000079,INV-V0019-2505-6680,,AP Automation,2025-05-02T10:00:00+05:30
PAY-000073,CMP-NL-001,V0015,TXN-000077,2025-05-11,2025-05-25,completed,206677.24,241.61,206918.85,INR,RTGS,UTR-250525-000073,INV-V0015-2505-9541,,AP Automation,2025-05-11T10:00:00+05:30
PAY-000101,CMP-NL-001,V0045,TXN-000107,2025-05-18,2025-05-25,completed,77781.53,33.22,77814.75,INR,RTGS,UTR-250525-000101,INV-V0045-2505-3941,,AP Automation,2025-05-04T10:00:00+05:30
PAY-000058,CMP-NL-001,V0003,TXN-000060,2025-06-24,2025-05-27,completed,629910.09,481.18,630391.27,INR,RTGS,UTR-250527-000058,INV-V0003-2505-3465,,AP Automation,2025-05-11T10:00:00+05:30
PAY-000069,CMP-NL-001,V0013,TXN-000072,2025-06-12,2025-05-29,completed,19398.07,17.05,19415.12,INR,IMPS,UTR-250529-000069,INV-V0013-2505-1595,,AP Automation,2025-05-29T10:00:00+05:30
PAY-000078,CMP-NL-001,V0019,TXN-000082,2025-05-21,2025-05-29,completed,61332.84,71.45,61404.29,INR,IMPS,UTR-250529-000078,INV-V0019-2505-6378,,AP Automation,2025-05-06T10:00:00+05:30
PAY-000104,CMP-NL-001,V0055,TXN-000110,2025-05-21,2025-05-30,completed,91457.16,77.28,91534.44,INR,RTGS,UTR-250530-000104,INV-V0055-2505-3081,,AP Automation,2025-05-08T10:00:00+05:30
PAY-000065,CMP-NL-001,V0010,TXN-000068,2025-06-22,2025-06-02,completed,96760.53,102.09,96862.62,INR,UPI,UTR-250602-000065,INV-V0010-2505-7168,,AP Automation,2025-05-09T10:00:00+05:30
PAY-000070,CMP-NL-001,V0013,TXN-000073,2025-06-02,2025-06-02,completed,21377.35,18.37,21395.72,INR,NEFT,UTR-250602-000070,INV-V0013-2505-8240,,AP Automation,2025-05-20T10:00:00+05:30
PAY-000074,CMP-NL-001,V0016,TXN-000078,2025-06-30,2025-06-02,completed,246878.02,131.23,247009.25,INR,NEFT,UTR-250602-000074,INV-V0016-2505-7654,,AP Automation,2025-06-01T10:00:00+05:30
PAY-000072,CMP-NL-001,V0014,TXN-000076,2025-06-24,2025-06-03,completed,110785.02,134.87,110919.89,INR,NEFT,UTR-250603-000072,INV-V0014-2505-1707,,AP Automation,2025-05-25T10:00:00+05:30
PAY-000076,CMP-NL-001,V0018,TXN-000080,2025-07-04,2025-06-03,completed,69470.29,60.43,69530.72,INR,Corporate Card,UTR-250603-000076,INV-V0018-2505-6194,,AP Automation,2025-05-21T10:00:00+05:30
PAY-000091,CMP-NL-001,V0030,TXN-000095,2025-05-11,2025-06-03,completed,85669.56,46.36,85715.92,INR,UPI,UTR-250603-000091,INV-V0030-2505-2756,,AP Automation,2025-05-11T10:00:00+05:30
PAY-000125,CMP-NL-001,V0019,TXN-000133,2025-06-16,2025-06-03,completed,99282.82,127.01,99409.83,INR,RTGS,UTR-250603-000125,INV-V0019-2506-1173,,AP Automation,2025-06-01T10:00:00+05:30
PAY-000056,CMP-NL-001,V0001,TXN-000058,2025-05-21,2025-06-04,completed,152610.33,62.11,152672.44,INR,UPI,UTR-250604-000056,INV-V0001-2505-8961,,AP Automation,2025-05-21T10:00:00+05:30
PAY-000066,CMP-NL-001,V0011,TXN-000069,2025-05-23,2025-06-04,reversed,43560.65,0.00,0.00,INR,UPI,UTR-250604-000066,INV-V0011-2505-9090,,AP Automation,2025-05-23T10:00:00+05:30
PAY-000068,CMP-NL-001,V0012,TXN-000071,2025-05-28,2025-06-04,completed,94580.77,33.82,94614.59,INR,NEFT,UTR-250604-000068,INV-V0012-2505-5490,,AP Automation,2025-05-21T10:00:00+05:30
PAY-000097,CMP-NL-001,V0042,TXN-000102,2025-05-28,2025-06-04,completed,17075.61,13.36,17088.97,INR,ACH,UTR-250604-000097,INV-V0042-2505-4686,,AP Automation,2025-05-23T10:00:00+05:30
PAY-000102,CMP-NL-001,V0050,TXN-000108,2025-06-30,2025-06-04,completed,42266.68,21.30,42287.98,INR,NEFT,UTR-250604-000102,INV-V0050-2505-7961,,AP Automation,2025-05-18T10:00:00+05:30
PAY-000080,CMP-NL-001,V0020,TXN-000084,2025-06-11,2025-06-05,completed,101080.83,100.56,101181.39,INR,ACH,UTR-250605-000080,INV-V0020-2505-5203,,AP Automation,2025-05-14T10:00:00+05:30
PAY-000062,CMP-NL-001,V0007,TXN-000065,2025-06-09,2025-06-06,completed,148439.83,197.19,148637.02,INR,IMPS,UTR-250606-000062,INV-V0007-2505-8493,,AP Automation,2025-05-26T10:00:00+05:30
PAY-000093,CMP-NL-001,V0036,TXN-000098,2025-05-14,2025-06-06,completed,91445.32,42.66,91487.98,INR,RTGS,UTR-250606-000093,INV-V0036-2505-4137,,AP Automation,2025-05-14T10:00:00+05:30
PAY-000075,CMP-NL-001,V0017,TXN-000079,2025-05-31,2025-06-07,completed,50733.01,55.59,50788.60,INR,Corporate Card,UTR-250607-000075,INV-V0017-2505-1692,,AP Automation,2025-05-31T10:00:00+05:30
PAY-000064,CMP-NL-001,V0009,TXN-000067,2025-06-12,2025-06-08,completed,119361.59,174.74,119536.33,INR,ACH,UTR-250608-000064,INV-V0009-2505-5088,,AP Automation,2025-05-30T10:00:00+05:30
PAY-000071,CMP-NL-001,V0013,TXN-000074,2025-06-09,2025-06-08,completed,8151.66,10.10,8161.76,INR,ACH,UTR-250608-000071,INV-V0013-2505-1736,,AP Automation,2025-05-28T10:00:00+05:30
PAY-000094,CMP-NL-001,V0037,TXN-000099,2025-05-31,2025-06-08,completed,373290.00,357.09,373647.09,INR,ACH,UTR-250608-000094,INV-V0037-2505-8784,,AP Automation,2025-05-27T10:00:00+05:30
PAY-000103,CMP-NL-001,V0054,TXN-000109,2025-05-30,2025-06-08,completed,119742.27,84.90,119827.17,INR,Corporate Card,UTR-250608-000103,INV-V0054-2505-3092,,AP Automation,2025-05-30T10:00:00+05:30
PAY-000145,CMP-NL-001,V0043,TXN-000153,2025-06-07,2025-06-08,completed,54264.70,33.45,54298.15,INR,Corporate Card,UTR-250608-000145,INV-V0043-2506-2291,,AP Automation,2025-06-07T10:00:00+05:30
PAY-000082,CMP-NL-001,V0022,TXN-000086,2025-06-19,2025-06-09,completed,309177.30,379.65,309556.95,INR,Corporate Card,UTR-250609-000082,INV-V0022-2505-9132,,AP Automation,2025-05-21T10:00:00+05:30
PAY-000060,CMP-NL-001,V0004,TXN-000062,2025-05-30,2025-06-11,completed,213255.68,300.29,213555.97,INR,Corporate Card,UTR-250611-000060,INV-V0004-2505-7379,,AP Automation,2025-05-24T10:00:00+05:30
PAY-000122,CMP-NL-001,V0016,TXN-000130,2025-07-03,2025-06-11,completed,123734.09,151.86,123885.95,INR,Corporate Card,UTR-250611-000122,INV-V0016-2506-5340,,AP Automation,2025-06-05T10:00:00+05:30
PAY-000147,CMP-NL-001,V0047,TXN-000155,2025-06-16,2025-06-11,completed,39158.42,29.61,39188.03,INR,Corporate Card,UTR-250611-000147,INV-V0047-2506-3711,,AP Automation,2025-06-10T10:00:00+05:30
PAY-000089,CMP-NL-001,V0028,TXN-000093,2025-05-27,2025-06-12,completed,169211.32,107.66,169318.98,INR,RTGS,UTR-250612-000089,INV-V0028-2505-1773,,AP Automation,2025-05-22T10:00:00+05:30
PAY-000099,CMP-NL-001,V0043,TXN-000104,2025-05-26,2025-06-13,completed,93646.45,76.64,93723.09,INR,NEFT,UTR-250613-000099,INV-V0043-2505-8845,,AP Automation,2025-05-26T10:00:00+05:30
PAY-000059,CMP-NL-001,V0004,TXN-000061,2025-06-03,2025-06-14,completed,113606.16,109.40,113715.56,INR,RTGS,UTR-250614-000059,INV-V0004-2505-5804,,AP Automation,2025-05-27T10:00:00+05:30
PAY-000061,CMP-NL-001,V0005,TXN-000063,2025-05-29,2025-06-14,completed,319159.50,422.76,319582.26,INR,IMPS,UTR-250614-000061,INV-V0005-2505-9803,,AP Automation,2025-05-23T10:00:00+05:30
PAY-000067,CMP-NL-001,V0011,TXN-000070,2025-05-26,2025-06-14,completed,27774.64,33.36,27808.00,INR,NEFT,UTR-250614-000067,INV-V0011-2505-1143,,AP Automation,2025-05-26T10:00:00+05:30
PAY-000085,CMP-NL-001,V0025,TXN-000089,2025-06-22,2025-06-14,completed,80691.38,56.84,80748.22,INR,RTGS,UTR-250614-000085,INV-V0025-2505-2587,,AP Automation,2025-05-23T10:00:00+05:30
PAY-000123,CMP-NL-001,V0017,TXN-000131,2025-06-06,2025-06-15,completed,110119.35,76.33,110195.68,INR,IMPS,UTR-250615-000123,INV-V0017-2506-4340,,AP Automation,2025-06-06T10:00:00+05:30
PAY-000134,CMP-NL-001,V0025,TXN-000142,2025-07-15,2025-06-15,completed,160586.22,227.20,160813.42,INR,UPI,UTR-250615-000134,INV-V0025-2506-1694,,AP Automation,2025-06-15T10:00:00+05:30
PAY-000141,CMP-NL-001,V0038,TXN-000149,2025-07-12,2025-06-15,completed,394035.28,117.39,394152.67,INR,UPI,UTR-250615-000141,INV-V0038-2506-3248,,AP Automation,2025-06-14T10:00:00+05:30
PAY-000090,CMP-NL-001,V0029,TXN-000094,2025-06-28,2025-06-17,completed,99057.38,78.64,99136.02,INR,IMPS,UTR-250617-000090,INV-V0029-2505-2011,,AP Automation,2025-06-01T10:00:00+05:30
PAY-000100,CMP-NL-001,V0044,TXN-000106,2025-05-29,2025-06-17,completed,179404.47,215.71,179620.18,INR,NEFT,UTR-250617-000100,INV-V0044-2505-4909,,AP Automation,2025-05-29T10:00:00+05:30
PAY-000111,CMP-NL-001,V0007,TXN-000119,2025-06-26,2025-06-17,completed,229625.68,90.61,229716.29,INR,Corporate Card,UTR-250617-000111,INV-V0007-2506-9853,,AP Automation,2025-06-14T10:00:00+05:30
PAY-000092,CMP-NL-001,V0030,TXN-000096,2025-06-01,2025-06-18,completed,89262.91,101.30,89364.21,INR,ACH,UTR-250618-000092,INV-V0030-2505-1367,,AP Automation,2025-06-01T10:00:00+05:30
PAY-000119,CMP-NL-001,V0013,TXN-000127,2025-06-27,2025-06-19,completed,33417.22,41.65,33458.87,INR,RTGS,UTR-250619-000119,INV-V0013-2506-1234,,AP Automation,2025-06-14T10:00:00+05:30
PAY-000148,CMP-NL-001,V0048,TXN-000156,2025-07-19,2025-06-21,completed,146694.09,85.44,146779.53,INR,Corporate Card,UTR-250621-000148,INV-V0048-2506-2297,,AP Automation,2025-06-05T10:00:00+05:30
PAY-000149,CMP-NL-001,V0049,TXN-000157,2025-08-06,2025-06-22,completed,225576.42,134.26,225710.68,INR,UPI,UTR-250622-000149,INV-V0049-2506-4318,,AP Automation,2025-06-22T10:00:00+05:30
PAY-000120,CMP-NL-001,V0014,TXN-000128,2025-07-21,2025-06-24,completed,142383.01,123.81,142506.82,INR,NEFT,UTR-250624-000120,INV-V0014-2506-2427,,AP Automation,2025-06-24T10:00:00+05:30
PAY-000140,CMP-NL-001,V0037,TXN-000148,2025-06-24,2025-06-24,completed,417231.37,386.21,417617.58,INR,Corporate Card,UTR-250624-000140,INV-V0037-2506-7769,,AP Automation,2025-06-20T10:00:00+05:30
PAY-000146,CMP-NL-001,V0045,TXN-000154,2025-06-19,2025-06-26,completed,85557.60,75.86,85633.46,INR,RTGS,UTR-250626-000146,INV-V0045-2506-4838,,AP Automation,2025-06-04T10:00:00+05:30
PAY-000153,CMP-NL-001,V0054,TXN-000161,2025-06-15,2025-06-26,completed,82815.81,51.24,82867.05,INR,ACH,UTR-250626-000153,INV-V0054-2506-7174,,AP Automation,2025-06-15T10:00:00+05:30
PAY-000138,CMP-NL-001,V0033,TXN-000146,2025-07-24,2025-06-27,completed,72547.05,69.23,72616.28,INR,UPI,UTR-250627-000138,INV-V0033-2506-7934,,AP Automation,2025-06-11T10:00:00+05:30
PAY-000150,CMP-NL-001,V0050,TXN-000158,2025-08-06,2025-06-27,failed,25166.91,0.00,0.00,INR,NEFT,UTR-250627-000150,INV-V0050-2506-6048,Beneficiary bank rejected,AP Automation,2025-06-23T10:00:00+05:30
