alias_id,vendor_id,alias,normalized_alias,alias_type,is_ambiguous,ambiguous_group,notes
VA0053,V0015,HubSpot,hubspot,display_name,false,,
VA0054,V0015,HubSpot India Private Limited,hubspot india private limited,legal_name,false,,
VA0055,V0015,Hub Spot,hub spot,common_alias,false,,
VA0056,V0016,Salesforce,salesforce,display_name,false,,
VA0057,V0016,Salesforce.com India Private Limited,salesforce com india private limited,legal_name,false,,
VA0058,V0016,SFDC,sfdc,common_alias,false,,
VA0059,V0017,Freshworks,freshworks,display_name,false,,
VA0060,V0017,Freshworks Technologies Private Limited,freshworks technologies private limited,legal_name,false,,
VA0061,V0017,Freshdesk,freshdesk,common_alias,false,,
VA0062,V0018,Razorpay,razorpay,display_name,false,,
VA0063,V0018,Razorpay Software Private Limited,razorpay software private limited,legal_name,false,,
VA0064,V0018,Razor Pay,razor pay,common_alias,false,,
VA0065,V0019,Cashfree Payments,cashfree payments,display_name,false,,
VA0066,V0019,Cashfree Payments India Private Limited,cashfree payments india private limited,legal_name,false,,
VA0067,V0019,Cashfree,cashfree,common_alias,false,,
VA0068,V0019,Cash Free,cash free,common_alias,false,,
VA0069,V0020,Stripe India,stripe india,display_name,false,,
VA0070,V0020,Stripe India Private Limited,stripe india private limited,legal_name,false,,
VA0071,V0020,Stripe,stripe,common_alias,false,,
VA0072,V0021,WeWork India,wework india,display_name,false,,
VA0073,V0021,WeWork India Management Private Limited,wework india management private limited,legal_name,false,,
VA0074,V0021,WeWork,wework,common_alias,false,,
VA0075,V0021,We Work,we work,common_alias,false,,
VA0076,V0022,IndiQube,indiqube,display_name,false,,
VA0077,V0022,IndiQube Spaces Private Limited,indiqube spaces private limited,legal_name,false,,
VA0078,V0022,Indi Qube,indi qube,common_alias,false,,
VA0079,V0023,BESCOM,bescom,display_name,false,,
VA0080,V0023,Bangalore Electricity Supply Company Limited,bangalore electricity supply company limited,legal_name,false,,
VA0081,V0023,Bangalore Electricity,bangalore electricity,common_alias,false,,
VA0082,V0024,Airtel Business,airtel business,display_name,false,,
VA0083,V0024,Bharti Airtel Limited,bharti airtel limited,legal_name,false,,
VA0084,V0024,Airtel,airtel,common_alias,false,,
VA0085,V0024,Bharti Airtel,bharti airtel,common_alias,false,,
VA0086,V0025,Jio Business,jio business,display_name,false,,
VA0087,V0025,Reliance Jio Infocomm Limited,reliance jio infocomm limited,legal_name,false,,
VA0088,V0025,Jio,jio,common_alias,false,,
VA0089,V0025,Reliance Jio,reliance jio,common_alias,false,,
VA0090,V0026,Deloitte Consulting,deloitte consulting,display_name,false,,
VA0091,V0026,Deloitte Touche Tohmatsu India LLP,deloitte touche tohmatsu india llp,legal_name,false,,
VA0092,V0026,Deloitte,deloitte,common_alias,false,,
VA0093,V0026,Deloitte India,deloitte india,common_alias,false,,
VA0094,V0027,KPMG Advisory,kpmg advisory,display_name,false,,
VA0095,V0027,KPMG Assurance and Consulting Services LLP,kpmg assurance and consulting services llp,legal_name,false,,
VA0096,V0027,KPMG,kpmg,common_alias,false,,
VA0097,V0027,KPMG India,kpmg india,common_alias,false,,
VA0098,V0028,DataForge Analytics,dataforge analytics,display_name,false,,
VA0099,V0028,DataForge Analytics Private Limited,dataforge analytics private limited,legal_name,false,,
VA0100,V0028,DataForge,dataforge,common_alias,false,,
VA0101,V0028,Data Forge,data forge,common_alias,false,,
VA0102,V0029,LexBridge Legal,lexbridge legal,display_name,false,,
VA0103,V0029,LexBridge Legal Partners,lexbridge legal partners,legal_name,false,,
VA0104,V0029,LexBridge,lexbridge,common_alias,false,,
VA0105,V0029,Lex Bridge,lex bridge,common_alias,false,,
VA0106,V0030,AuditSphere,auditsphere,display_name,false,,
VA0107,V0030,AuditSphere & Co LLP,auditsphere co llp,legal_name,false,,
VA0108,V0030,Audit Sphere,audit sphere,common_alias,false,,
VA0109,V0031,TalentNest,talentnest,display_name,false,,
VA0110,V0031,TalentNest Recruitment Private Limited,talentnest recruitment private limited,legal_name,false,,
VA0111,V0031,Talent Nest,talent nest,common_alias,false,,
VA0112,V0032,LinkedIn Talent,linkedin talent,display_name,false,,
VA0113,V0032,LinkedIn Technology Information Private Limited,linkedin technology information private limited,legal_name,false,,
VA0114,V0032,LinkedIn,linkedin,common_alias,false,,
VA0115,V0032,Linkedin Jobs,linkedin jobs,common_alias,false,,
VA0116,V0033,Coursera for Business,coursera for business,display_name,false,,
VA0117,V0033,Coursera India Private Limited,coursera india private limited,legal_name,false,,
VA0118,V0033,Coursera,coursera,common_alias,false,,
VA0119,V0033,Coursera Business,coursera business,common_alias,false,,
VA0120,V0034,Udemy Business,udemy business,display_name,false,,
VA0121,V0034,Udemy India LLP,udemy india llp,legal_name,false,,
VA0122,V0034,Udemy,udemy,common_alias,false,,
VA0123,V0035,GrowthMint Media,growthmint media,display_name,false,,
VA0124,V0035,GrowthMint Media Private Limited,growthmint media private limited,legal_name,false,,
VA0125,V0035,GrowthMint,growthmint,common_alias,false,,
VA0126,V0035,Growth Mint,growth mint,common_alias,false,,
VA0127,V0036,EventCraft,eventcraft,display_name,false,,
VA0128,V0036,EventCraft Experiences Private Limited,eventcraft experiences private limited,legal_name,false,,
VA0129,V0036,Event Craft,event craft,common_alias,false,,
VA0130,V0037,Google Ads,google ads,display_name,false,,
VA0131,V0037,Google India Private Limited,google india private limited,legal_name,false,,
VA0132,V0037,AdWords,adwords,common_alias,false,,
VA0133,V0037,Google Advertising,google advertising,common_alias,false,,
VA0134,V0038,Meta Ads,meta ads,display_name,false,,
VA0135,V0038,Facebook India Online Services Private Limited,facebook india online services private limited,legal_name,false,,
VA0136,V0038,Facebook Ads,facebook ads,common_alias,false,,
VA0137,V0038,Instagram Ads,instagram ads,common_alias,false,,
VA0138,V0039,IndiGo,indigo,display_name,false,,
VA0139,V0039,InterGlobe Aviation Limited,interglobe aviation limited,legal_name,false,,
VA0140,V0039,Indigo Airlines,indigo airlines,common_alias,false,,
VA0141,V0039,6E,6e,common_alias,false,,
VA0142,V0040,Air India,air india,display_name,false,,
VA0143,V0040,Air India Limited,air india limited,legal_name,false,,
VA0144,V0041,MakeMyTrip,makemytrip,display_name,false,,
VA0145,V0041,MakeMyTrip India Private Limited,makemytrip india private limited,legal_name,false,,
VA0146,V0041,MMT,mmt,common_alias,false,,
VA0147,V0042,Uber India,uber india,display_name,false,,
VA0148,V0042,Uber India Systems Private Limited,uber india systems private limited,legal_name,false,,
VA0149,V0042,Uber,uber,common_alias,false,,
VA0150,V0043,Swiggy Corporate,swiggy corporate,display_name,false,,
VA0151,V0043,Bundl Technologies Private Limited,bundl technologies private limited,legal_name,false,,
VA0152,V0043,Swiggy,swiggy,common_alias,false,,
VA0153,V0044,ABC Consulting,abc consulting,display_name,false,,
VA0154,V0044,ABC Consulting Services Private Limited,abc consulting services private limited,legal_name,false,,
VA0155,V0044,ABC,abc,common_alias,true,abc,Requires user clarification when used without a more specific token.
VA0156,V0045,ABC Telecom,abc telecom,display_name,false,,
VA0157,V0045,ABC Telecom Networks Limited,abc telecom networks limited,legal_name,false,,
VA0158,V0045,ABC,abc,common_alias,true,abc,Requires user clarification when used without a more specific token.
VA0159,V0046,BlueDart,bluedart,display_name,false,,
VA0160,V0046,Blue Dart Express Limited,blue dart express limited,legal_name,false,,
VA0161,V0046,Blue Dart,blue dart,common_alias,false,,
VA0162,V0047,Delhivery,delhivery,display_name,false,,
VA0163,V0047,Delhivery Limited,delhivery limited,legal_name,false,,
VA0164,V0048,HDFC ERGO,hdfc ergo,display_name,false,,
VA0165,V0048,HDFC ERGO General Insurance Company Limited,hdfc ergo general insurance company limited,legal_name,false,,
VA0166,V0048,HDFC Ergo Insurance,hdfc ergo insurance,common_alias,false,,
VA0167,V0049,ICICI Lombard,icici lombard,display_name,false,,
VA0168,V0049,ICICI Lombard General Insurance Company Limited,icici lombard general insurance company limited,legal_name,false,,
VA0169,V0049,Lombard,lombard,common_alias,false,,
VA0170,V0050,HDFC Bank,hdfc bank,display_name,false,,
VA0171,V0050,HDFC Bank Limited,hdfc bank limited,legal_name,false,,
VA0172,V0050,HDFC,hdfc,common_alias,false,,
VA0173,V0051,RBL Bank,rbl bank,display_name,false,,
VA0174,V0051,RBL Bank Limited,rbl bank limited,legal_name,false,,
VA0175,V0051,RBL,rbl,common_alias,false,,
VA0176,V0052,Urban Company,urban company,display_name,false,,
VA0177,V0052,Urban Company Technologies India Private Limited,urban company technologies india private limited,legal_name,false,,
VA0178,V0052,UrbanClap,urbanclap,common_alias,false,,
VA0179,V0053,MCA Services,mca services,display_name,false,,
VA0180,V0053,Ministry of Corporate Affairs,ministry of corporate affairs,legal_name,false,,
VA0181,V0053,MCA,mca,common_alias,false,,
VA0182,V0054,Amazon Business,amazon business,display_name,false,,
VA0183,V0054,Amazon Seller Services Private Limited,amazon seller services private limited,legal_name,false,,
VA0184,V0054,Amazon India,amazon india,common_alias,false,,
VA0185,V0055,Zoho,zoho,display_name,false,,
VA0186,V0055,Zoho Corporation Private Limited,zoho corporation private limited,legal_name,false,,
VA0187,V0055,Zoho Corp,zoho corp,common_alias,false,,
VA0188,V0056,Canva,canva,display_name,false,,
VA0189,V0056,Canva India Private Limited,canva india private limited,legal_name,false,,
